model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
qwen,normal,age,adult,18.0,482,-0.09236169414470605,-0.043005628808369334,-0.08206953514241552,-0.03924703997166834,-0.010292159002290517,0.0,-0.002074688796680498,0.0
qwen,normal,age,adult,20.0,482,-0.14228985222053994,-0.08811586561782947,-0.12765892581284824,-0.08043203845351382,-0.014630926407691652,0.0,0.008298755186721992,0.0
qwen,normal,age,older_adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,age,older_adult,2.0,482,-0.00836648727226313,-7.992291201075474e-08,-0.005892611719861911,-3.999999120818387e-08,-0.0024738755524012185,0.0,0.0,0.0
qwen,normal,age,older_adult,4.0,482,-0.01670343502323489,-1.499807278371179e-07,-0.011868306282318128,-1.1500000079989192e-07,-0.004835128740916763,0.0,0.008298755186721992,0.0
qwen,normal,age,older_adult,6.0,482,-0.020308133130004645,-3.4999997228224444e-07,-0.014984838400652279,-3.2301062724560126e-07,-0.005323294729352363,0.0,0.004149377593360996,0.0
qwen,normal,age,older_adult,8.0,482,-0.02213690737255746,-2.510000043920435e-06,-0.016749138436197103,-2.229999929714843e-06,-0.005387768936360357,0.0,0.002074688796680498,0.0
qwen,normal,age,older_adult,10.0,482,-0.023768501165011245,-9.26000013035111e-06,-0.018090967813370402,-5.28999979965139e-06,-0.005677533351640844,0.0,0.0,0.0
qwen,normal,age,older_adult,12.0,482,-0.024136967659536365,-1.1457522414493049e-05,-0.0196989528481895,-1.6814999173608847e-05,-0.0044380148113468635,0.0,-0.004149377593360996,0.0
qwen,normal,age,older_adult,14.0,482,-0.02412959820858489,-2.796499992321899e-05,-0.02044173098832177,-2.866000089857268e-05,-0.0036878672202631225,0.0,-0.002074688796680498,0.0
qwen,normal,age,older_adult,16.0,482,-0.02139365764787343,-3.961999965715335e-05,-0.020350265198483007,-4.5720001814741895e-05,-0.001043392449390426,0.0,-0.006224066390041493,0.0
qwen,normal,age,older_adult,18.0,482,-0.01702464612084809,-6.0917500917412326e-05,-0.0203918625737481,-9.226750088220381e-05,0.0033672164529000184,0.0,-0.008298755186721992,0.0
qwen,normal,age,older_adult,20.0,482,-0.0029516539329156924,-9.235999966883401e-05,-0.011454050901220914,-0.00014090999785387748,0.008502396968305221,0.0,-0.01867219917012448,0.0
qwen,normal,education,some schooling,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,education,some schooling,2.0,486,-0.003022032467544568,2.000000051682882e-08,-0.0013119220790803806,2.4999994741037312e-08,-0.0017101103884641876,0.0,0.00205761316872428,0.0
qwen,normal,education,some schooling,4.0,486,-0.006115868182014589,2.999999693109601e-08,-0.003349412069178635,2.250000172288047e-08,-0.002766456112835952,0.0,0.00411522633744856,0.0
qwen,normal,education,some schooling,6.0,486,-0.009804383175721507,4.999999914101494e-09,-0.006176159191240275,4.999999914101494e-09,-0.0036282239844812325,0.0,0.006172839506172839,0.0
qwen,normal,education,some schooling,8.0,486,-0.012729809645016714,0.0,-0.010282890286938668,0.0,-0.0024469193580780426,0.0,0.00411522633744856,0.0
qwen,normal,education,some schooling,10.0,486,-0.017204791332254478,-1.100000008025237e-07,-0.01452293109456617,-1.4499999255457308e-07,-0.002681860237688311,0.0,0.00823045267489712,0.0
