model,magnitude,summary_level,n,n_qkeys,mean_difference_delta_target,ci95_difference_delta_target,p_two_sided_delta_target,contrastive_better_rate_delta_target,mean_difference_delta_others,ci95_difference_delta_others,p_two_sided_delta_others,mean_difference_delta_specificity,ci95_difference_delta_specificity,p_two_sided_delta_specificity,contrastive_better_rate_delta_specificity,mean_difference_delta_nearest,ci95_difference_delta_nearest,p_two_sided_delta_nearest,contrastive_better_rate_delta_nearest,attribute,model_class
qwen,20.0,overall,4362,486,-0.07797519722414455,0.009341949726067679,1.478830129167016e-30,0.757201646090535,-0.061317515567962104,0.009101921186720274,1.4833849392656986e-21,-0.01665768165618244,0.004512914493227044,2.2517076668308632e-19,0.6872427983539094,0.05089408528198074,0.013557792223577692,1.9377085119943342e-15,0.47530864197530864,,
llama,0.0,overall,4362,486,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,
llama,2.0,overall,4362,486,0.00192681246060483,0.0032877536838712127,0.3972139638376435,0.49176954732510286,0.0007614877325485111,0.0031778949284193138,0.6757868339165154,0.0011653247280563178,0.001495507287395597,0.21607525060284394,0.4897119341563786,-0.007565337001375516,0.007087646394542883,0.03289686884449249,0.1419753086419753,,
llama,4.0,overall,4362,486,-0.015901647932345723,0.005454806075404512,0.0009924821072363108,0.5493827160493827,-0.017995060146901935,0.005457935050294909,8.601215264356205e-05,0.0020934122145562124,0.002405686597519526,0.0608739158973573,0.4609053497942387,-0.0068775790921595595,0.009251186399803667,0.10099621889635563,0.23045267489711935,,
llama,6.0,overall,4362,486,-0.018679151940527394,0.007986067353110098,0.00016701899501298545,0.5390946502057613,-0.014146894668446808,0.007981931646576809,0.02422909355061493,-0.004532257272080582,0.00336707870410069,0.0011978849907657045,0.5493827160493827,0.019601100412654747,0.011911494844067998,0.0050652964347498485,0.36213991769547327,,
llama,8.0,overall,4362,486,0.00944596621229714,0.008310687486849233,0.007823576734575401,0.43415637860082307,0.014882820395699228,0.008350512524013936,6.572827533220725e-05,-0.005436854183402089,0.0037399514943894157,2.064670259099171e-05,0.5987654320987654,0.026134800550206328,0.012766225649525263,0.00019842585372840246,0.42386831275720166,,
llama,10.0,overall,4362,486,0.026563619152404693,0.007618449343990617,1.1503251113157652e-09,0.40329218106995884,0.029344132050460596,0.007623348336506657,2.348169181465084e-13,-0.0027805128980559054,0.00351743459987869,0.018242708211306656,0.5432098765432098,0.007106831728564879,0.012508617449672901,0.34593634017236496,0.360082304526749,,
llama,12.0,overall,4362,486,0.035127306101038834,0.0069786759271145945,1.753334425016083e-13,0.38065843621399176,0.03457989158665668,0.006999599873705472,2.766229803746242e-14,0.000547414514382149,0.0033537443826874825,0.8680835716875939,0.4897119341563786,-0.004470426409903714,0.011941877817217016,0.5283939634657223,0.3148148148148148,,
llama,14.0,overall,4362,486,0.035631639652079855,0.006591125582396902,2.712662880012637e-13,0.3724279835390947,0.033436363979621284,0.0065449945293408855,9.98520786560988e-13,0.0021952756724585645,0.0032767796994386303,0.1035581992510014,0.4691358024691358,-0.0069922054103622195,0.012158685803831178,0.45860477221664586,0.3148148148148148,,
llama,16.0,overall,4362,486,0.03375208228547499,0.006076665366018104,2.0228563172077914e-14,0.37448559670781895,0.031281891022653885,0.005980152716410314,5.04776999249747e-13,0.0024701912628211017,0.0030804647942742113,0.03286660755170223,0.4567901234567901,-0.011118752865657956,0.012055887573252485,0.09158307981368291,0.30246913580246915,,
llama,18.0,overall,4362,486,0.031472176949688624,0.005504578347603694,1.1114157284881475e-16,0.3395061728395062,0.029000913708911155,0.005394181127537049,5.945857078921231e-15,0.002471263240777462,0.002868281782357097,0.05222122423834778,0.4567901234567901,-0.01180651077487391,0.011568036903416333,0.06683439254262932,0.2839506172839506,,
llama,20.0,overall,4362,486,0.028612671847138137,0.005041612410765807,1.1115512828023549e-18,0.31893004115226337,0.02615273114787412,0.0049221613816340035,4.717716534758693e-16,0.0024599406992640216,0.0027000251862859645,0.06980958115227599,0.46502057613168724,-0.007450710683172856,0.01126166837051584,0.24976785411248426,0.3004115226337449,,
mistral,0.0,overall,4362,486,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,
mistral,2.0,overall,4362,486,0.022530586827828006,0.003363865801704474,2.8185529481691766e-21,0.31069958847736623,0.024121515239237414,0.0033359922129691908,1.9512214729508654e-22,-0.001590928411409409,0.002361706717561871,0.15431236425210973,0.522633744855967,0.004011921137093076,0.010396090473567427,0.376325672786742,0.2613168724279835,,
mistral,4.0,overall,4362,486,0.01826481237506093,0.002541535273335266,8.251423945843247e-30,0.3065843621399177,0.019568958215385065,0.002505842820901407,2.524458451917833e-31,-0.001304145840324136,0.0016086893514312476,0.08097993133246256,0.5267489711934157,0.005960568546538285,0.008453309002357192,0.1368037476251663,0.2345679012345679,,
mistral,6.0,overall,4362,486,0.012664865073196207,0.0023297883136366706,6.291967789974892e-21,0.34156378600823045,0.013024732064994278,0.0023087442047702066,1.0575669586455367e-20,-0.0003598669917980705,0.0014367159125499972,0.49699994858307417,0.5020576131687243,0.0018340210912425492,0.00811370519930268,0.5352982932292262,0.20781893004115226,,
mistral,8.0,overall,4362,486,0.008884910710460952,0.002207989152441754,7.145351414410276e-14,0.3497942386831276,0.008989212021219845,0.00219451961716284,8.098607862508206e-14,-0.00010430131075889503,0.0013410260426214378,0.6571881080665447,0.5123456790123457,0.0029802842732691427,0.007796065745589477,0.3975951459296434,0.19958847736625515,,
mistral,10.0,overall,4362,486,0.007300066094359161,0.0021807333098998218,8.869563460787106e-11,0.36419753086419754,0.0073081339798404124,0.002165945868371271,9.724052341652244e-11,-8.067885481252723e-06,0.0013221649476055993,0.7725088733866564,0.5123456790123457,0.0068775790921595595,0.007832665129140066,0.07249926404083101,0.2139917695473251,,
mistral,12.0,overall,4362,486,0.005552972281688237,0.002153131721354676,1.3526620062441096e-07,0.3724279835390947,0.005491553093633818,0.002135853837691386,8.23261663886015e-08,6.1419188054418e-05,0.0013058346180782239,0.9416086369729726,0.5061728395061729,0.005731315910132966,0.007768760055913132,0.09657677527109032,0.205761316872428,,
mistral,14.0,overall,4362,486,0.0039833175983284425,0.0021604372252870823,2.3355443742640803e-05,0.3765432098765432,0.003929546940588385,0.0021415810434400975,8.308458402656692e-06,5.377065774005754e-05,0.0013030112495820297,0.9408867683627428,0.5102880658436214,0.0029802842732691427,0.0077701186818419435,0.4023717376633783,0.19135802469135801,,
mistral,16.0,overall,4362,486,0.003221578117723175,0.0021132768379525453,0.00019739379063738382,0.3888888888888889,0.0031531807561727566,0.0020951185279984084,5.352753293470957e-05,6.83973615504177e-05,0.0012714326520662344,0.9868641789657518,0.5020576131687243,0.0022925263640531865,0.007678821531199162,0.51451965166105,0.18106995884773663,,
mistral,18.0,overall,4362,486,0.002953053914953967,0.002145182242782557,0.00035792283883480814,0.39094650205761317,0.002904098019760488,0.0021203986466817233,8.823137176798554e-05,4.895589519347815e-05,0.0012873481157249682,0.9926364746876135,0.5020576131687243,0.0020632737276478678,0.00777038084546557,0.5730225798857014,0.18106995884773663,,
mistral,20.0,overall,4362,486,0.0025485473758961757,0.002123619244860781,0.000950046766893861,0.39300411522633744,0.0024910225103374657,0.002098902745166409,0.00024160368646019748,5.7524865558707384e-05,0.0012818799032325932,0.9252087823021923,0.49794238683127573,0.0020632737276478678,0.007692017170069563,0.6103466680644938,0.18106995884773663,,
qwen,0.0,attribute,968,484,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,gender,
qwen,2.0,attribute,968,484,0.0013337196111879721,0.003895801325044239,2.3894670729295848e-11,0.6342975206611571,0.0011790779330031543,0.003967671436653273,6.054100959869796e-11,0.000154641678184818,0.001515047649158156,0.25441542929602057,0.256198347107438,0.0010330578512396695,0.007303979999664265,0.763024600552995,0.012396694214876033,gender,
qwen,4.0,attribute,968,484,0.002747693164899918,0.006304991214954827,5.786212768819914e-14,0.7479338842975206,0.0027808381227385887,0.006186271998114955,5.5596788648875463e-14,-3.314495783867017e-05,0.0023701792728179232,0.2847306977267101,0.24586776859504134,-0.005165289256198347,0.009277855074809334,0.25134910881022265,0.014462809917355372,gender,
qwen,6.0,attribute,968,484,-0.0004907752924473109,0.008133083124419866,6.074416342682743e-13,0.7747933884297521,-0.0007807827788588696,0.008490460891973223,3.9800892390966475e-13,0.000290007486411558,0.003215714812620824,0.29119376532237606,0.256198347107438,0.0,0.00992454891364507,1.0,0.02066115702479339,gender,
qwen,8.0,attribute,968,484,-0.013622134962190462,0.009367080972525777,1.2973258619075452e-15,0.7892561983471075,-0.014387383151512907,0.009714775935050922,5.780088500089162e-16,0.000765248189322445,0.0033361409266390737,0.4414016672146841,0.31611570247933884,-0.002066115702479339,0.011459142029803297,0.7150006546880892,0.028925619834710745,gender,
qwen,10.0,attribute,968,484,-0.03888543657429987,0.01099039217638218,9.054654113658407e-28,0.8264462809917356,-0.03936942107659104,0.011122748924268927,2.696328555580635e-28,0.0004839845022911821,0.0035645282798124995,0.6631700431849986,0.3243801652892562,0.006198347107438017,0.013432222499755928,0.34278171114791145,0.047520661157024795,gender,
qwen,12.0,attribute,968,484,-0.06286231513582295,0.015314545573808541,1.8710869891765945e-28,0.8264462809917356,-0.05654446223063541,0.014973888403808415,3.491400599721194e-23,-0.006317852905187538,0.005141020800262952,0.23650843392079868,0.35537190082644626,0.030991735537190084,0.01975274553266658,0.001967352948155838,0.11983471074380166,gender,
qwen,14.0,attribute,968,484,-0.0975865685631052,0.02115210912579562,4.515670320983224e-26,0.7789256198347108,-0.08482481971222605,0.020830602186959264,2.5721131194206954e-19,-0.012761748850879157,0.008296578055018272,0.0005351781135275522,0.44214876033057854,0.06198347107438017,0.027049402499076766,3.215505181578326e-06,0.2066115702479339,gender,
qwen,16.0,attribute,968,484,-0.1366208507138281,0.024857601942555544,1.7026424120128484e-27,0.7644628099173554,-0.10822311366867415,0.024497585173775854,3.91313115653417e-18,-0.02839773704515397,0.010920328185887286,1.8423133082692062e-10,0.5661157024793388,0.10227272727272728,0.034312432472973206,7.584388485049056e-10,0.3450413223140496,gender,
qwen,18.0,attribute,968,484,-0.15232302067152464,0.024862782738797242,7.888100088394601e-31,0.7479338842975206,-0.11302974142863076,0.024569681128596664,5.508734711066232e-19,-0.039293279242893865,0.012293403915306351,7.104124433307786e-16,0.6198347107438017,0.15082644628099173,0.037681678328145854,4.05302770112292e-16,0.45454545454545453,gender,
qwen,20.0,attribute,968,484,-0.15674881717851805,0.02418295603061092,1.1203434433726826e-30,0.7520661157024794,-0.11983572599544833,0.023785993693905244,6.015302090659133e-21,-0.03691309118306971,0.012362176110416179,1.0287954845895145e-15,0.6342975206611571,0.13326446280991736,0.038746482300816364,5.092018909085837e-13,0.45041322314049587,gender,
qwen,0.0,attribute,964,482,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,age,
qwen,2.0,attribute,964,482,-0.001576587338587749,0.0020863916381351957,0.001940296824616762,0.5269709543568465,-0.0012358331033491192,0.0020991924281390227,0.0008876275250706706,-0.0003407542352386299,0.0012966338061016205,0.2856454918969701,0.24896265560165975,0.0,0.0049828754979866306,1.0,0.006224066390041493,age,
qwen,4.0,attribute,964,482,-0.0008825807965336116,0.003727768083642186,3.8916609009660765e-18,0.7344398340248963,-0.000712520878375132,0.0037426823514697914,4.117955000689414e-20,-0.0001700599181584789,0.0018103122118735757,0.8804375253640186,0.2717842323651452,-0.006224066390041493,0.0057402839645211545,0.057779571123597204,0.002074688796680498,age,
qwen,6.0,attribute,964,482,-0.0023525150446745808,0.004655657909224648,3.1663638880797474e-22,0.8008298755186722,-0.001904794987635998,0.005176683517565265,6.115333538829746e-22,-0.00044772005703858363,0.002966483919605842,0.2947135210796463,0.2966804979253112,-0.007261410788381743,0.007320240997159441,0.05220363534131467,0.006224066390041493,age,
qwen,8.0,attribute,964,482,-0.0066443758935906495,0.005697358968398067,1.1060292054098495e-24,0.8402489626556017,-0.006042127479308774,0.0069548916524339085,1.467975263833371e-24,-0.0006022484142818771,0.004285422111265016,0.6585916323874961,0.2863070539419087,-0.013485477178423237,0.00882608922473661,0.0028599382084640934,0.006224066390041493,age,
