model,n,mean_abs_difference_target,max_abs_difference_target,mean_abs_difference_others,max_abs_difference_others,mean_abs_difference_specificity,max_abs_difference_specificity,mean_abs_difference_nearest,max_abs_difference_nearest
llama,4362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,4362,0.009185288515639826,0.2857167700740829,0.008920764951935046,0.2857167700740829,0.0025536271923161514,0.26749273173352595,0.008253094910591471,1.0
qwen,4362,0.011558881131803941,0.4644127623335871,0.011394084402603664,0.4644127623335871,0.0020867608906533102,0.2708074603763003,0.0032095369096744614,1.0
