model,mode,magnitude,n,n_qkeys,mean_delta_target,ci95_delta_target,mean_delta_others,ci95_delta_others,mean_delta_specificity,ci95_delta_specificity,mean_delta_nearest,ci95_delta_nearest,selection
qwen,normal,20.0,4362,486,-0.050349047356811436,0.007231944599498745,-0.04849370863229227,0.007239019690775115,-0.0018553387245191688,0.003469682194249913,0.0034387895460797797,0.009176168137391904,paper magnitude
qwen,contrastive,20.0,4362,486,-0.12832424458095598,0.01069716990511864,-0.1098112242002544,0.010531162856781334,-0.01851302038070161,0.0056345773537795655,0.054332874828060526,0.01507706119712069,paper magnitude
llama,normal,20.0,4362,486,-0.11305592470365781,0.012943357207548547,-0.11580271313745023,0.012893247530094043,0.0027467884337924265,0.006858852539938477,0.0004585052728106373,0.018317670826303332,paper magnitude
llama,contrastive,20.0,4362,486,-0.08444325285651966,0.013112807403120985,-0.0896499819895761,0.0130549218103578,0.0052067291330564515,0.007108502124229726,-0.0069922054103622195,0.01842505528940324,paper magnitude
mistral,normal,2.0,4362,486,-0.26334812588668743,0.011762294453150267,-0.26263271025549534,0.011406918715127933,-0.0007154156311920463,0.006794374032380935,0.0,0.020527184789055904,paper magnitude
mistral,contrastive,2.0,4362,486,-0.24081753905885941,0.012470463454882416,-0.23851119501625795,0.012162299194989899,-0.002306344042601456,0.007141166120069929,0.004011921137093076,0.021718351065619472,paper magnitude
