attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,All,486,972,0.20496130601456689,0.5061728395061729,0.49382716049382713,0.5195473251028807,0.5082304526748971,0.507201646090535,0.5,0.007201646090534974,-0.005144032921810704,0.020576131687242816,0.14592703648175911
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q1,121,242,0.04815234216570788,0.49173553719008267,0.47107438016528924,0.512396694214876,0.5,0.49586776859504134,0.5,-0.004132231404958664,-0.020661157024793375,0.012396694214875992,0.7536231884057971
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q2,122,244,0.1100884658594278,0.5040983606557377,0.47540983606557374,0.5327868852459017,0.5040983606557377,0.5040983606557377,0.5,0.004098360655737654,-0.024590163934426257,0.032786885245901676,0.4497751124437781
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q3,121,242,0.20565233374747752,0.5041322314049587,0.47520661157024796,0.5330578512396694,0.5041322314049587,0.5041322314049587,0.5,0.004132231404958664,-0.02479338842975204,0.03305785123966942,0.440279860069965
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q4,122,244,0.4546724270715891,0.5245901639344263,0.5,0.5491803278688525,0.5245901639344263,0.5245901639344263,0.5,0.024590163934426257,0.0,0.049180327868852514,0.03298350824587706
