position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,socioeco_accuracy
after_occupation,gender,31,10,0.24124446000000002,0.620622229,
after_occupation,gender,32,10,0.403394281,0.701697141,
after_occupation,gender,33,10,0.135738728,0.5678693659999999,
after_occupation,gender,34,10,0.21820390299999998,0.6091019520000001,
after_occupation,gender,35,10,0.635104191,0.817552096,
after_occupation,gender,36,10,0.21715207099999997,0.608576037,
after_occupation,gender,37,10,0.31932346899999997,0.659661735,
after_occupation,gender,38,10,0.58951484,0.79475742,
after_occupation,gender,39,10,0.958761633,0.979380817,
after_occupation,gender,40,10,0.24364144699999998,0.621820723,
after_occupation,socioeco,0,10,0.00027588,0.33351724999999993,0.0
after_occupation,socioeco,1,10,0.001127041,0.33408469200000007,0.5
after_occupation,socioeco,2,10,0.0012977169999999999,0.334198477,0.5
after_occupation,socioeco,3,10,0.006170021,0.33744668000000005,0.4
after_occupation,socioeco,4,10,0.004356053,0.33623736699999995,0.2
after_occupation,socioeco,5,10,0.027204557,0.35146970499999997,0.5
after_occupation,socioeco,6,10,0.047570984999999996,0.365047323,0.5
after_occupation,socioeco,7,10,0.025322425,0.350214948,0.5
after_occupation,socioeco,8,10,0.05648877700000001,0.37099251800000005,0.5
after_occupation,socioeco,9,10,0.061392988,0.374261993,0.6
after_occupation,socioeco,10,10,0.092579356,0.39505290200000004,0.5
after_occupation,socioeco,11,10,0.08196557300000001,0.38797705,0.6
after_occupation,socioeco,12,10,0.102853912,0.401902606,0.5
after_occupation,socioeco,13,10,0.060851042,0.37390069300000006,0.2
after_occupation,socioeco,14,10,0.14647521700000002,0.430983479,0.5
after_occupation,socioeco,15,10,0.13150017399999997,0.4210001169999999,0.7
after_occupation,socioeco,16,10,0.16238978799999998,0.44159319299999994,0.5
after_occupation,socioeco,17,10,0.17317548600000002,0.4487836560000001,0.5
after_occupation,socioeco,18,10,0.232167543,0.488111697,0.5
after_occupation,socioeco,19,10,0.216719983,0.4778133209999999,0.4
after_occupation,socioeco,20,10,0.19798758900000002,0.46532506199999996,0.3
after_occupation,socioeco,21,10,0.17233695799999998,0.44822463900000004,0.4
after_occupation,socioeco,22,10,0.15192425800000003,0.43461617199999997,0.5
after_occupation,socioeco,23,10,0.220342757,0.480228506,0.5
after_occupation,socioeco,24,10,0.08279223299999999,0.38852815399999996,0.5
after_occupation,socioeco,25,10,0.094367477,0.39624498399999997,0.3
after_occupation,socioeco,26,10,0.126573625,0.417715752,0.4
after_occupation,socioeco,27,10,0.265697821,0.510465213,0.4
after_occupation,socioeco,28,10,0.20271165399999996,0.46847443699999997,0.4
after_occupation,socioeco,29,10,0.15563856399999998,0.4370923749999999,0.2
after_occupation,socioeco,30,10,0.226791623,0.48452774900000006,0.0
after_occupation,socioeco,31,10,0.12712066900000002,0.418080444,0.2
after_occupation,socioeco,32,10,0.11655455300000002,0.4110363680000001,0.0
after_occupation,socioeco,33,10,0.25583641399999996,0.503890944,0.5
after_occupation,socioeco,34,10,0.20676824800000002,0.471178833,0.3
after_occupation,socioeco,35,10,0.414695966,0.60979731,0.5
after_occupation,socioeco,36,10,0.12408567399999999,0.416057116,0.5
after_occupation,socioeco,37,10,0.443642348,0.629094899,0.5
after_occupation,socioeco,38,10,0.31280465399999996,0.541869766,0.0
after_occupation,socioeco,39,10,0.331157397,0.55410493,0.0
after_occupation,socioeco,40,10,0.24223435200000001,0.494822902,0.5
final_prompt,age,0,4940,0.0006119799999999651,0.2504589899999877,
final_prompt,age,1,4940,0.003463875283400815,0.252597906481781,
final_prompt,age,2,4940,0.009532611809716585,0.2571494588097161,
final_prompt,age,3,4940,0.01376764365182182,0.2603257326659918,
final_prompt,age,4,4940,0.025250921402834036,0.2689381909999995,
final_prompt,age,5,4940,0.02737796962145744,0.27053347723279375,
final_prompt,age,6,4940,0.018780071744939276,0.264085053795547,
final_prompt,age,7,4940,0.04854073777530368,0.28640555335425105,
final_prompt,age,8,4940,0.06838939351821838,0.301292045200404,
