qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
GUNSAFE_W26,socioeco,"Less than $30,000","$100,000 or more",0.06438964322447221,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.0955903428196711,0.04708081557447785,0.04850952724519325
GUNTYPEOWNC_W26,socioeco,"Less than $30,000","$100,000 or more",0.3743136922050839,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.07734229831147588,0.11977331427225596,-0.04243101596078008
NOCARRYGUN_W26,socioeco,"Less than $30,000","$100,000 or more",0.011883250000000012,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.22443010445427503,0.24166667363732597,-0.017236569183050943
REASONGUNA_W26,socioeco,"Less than $30,000","$100,000 or more",0.16121826000000006,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.0275780421020098,0.8860923080497036,0.14148573405230613
REASONGUNB_W26,socioeco,"Less than $30,000","$100,000 or more",0.13052286917795747,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7368264664149351,0.6633357987175897,0.07349066769734536
REASONGUNC_W26,socioeco,"Less than $30,000","$100,000 or more",0.1626540406299693,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6333256017656689,0.5651699577282825,0.06815564403738639
REASONGUND_W26,socioeco,"Less than $30,000","$100,000 or more",0.1327946499999999,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2366203751689202,0.2829120419929347,-0.04629166682401448
REASONGUNE_W26,socioeco,"Less than $30,000","$100,000 or more",0.07425042999999998,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.27857688864414015,0.31207059318560737,-0.03349370454146722
SHOOTFREQ_W26,socioeco,"Less than $30,000","$100,000 or more",0.2467498505774362,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.40278357732276227,0.4105378353403662,-0.007754258017603932
WORRYB_W26,socioeco,"Less than $30,000","$100,000 or more",0.34924579000000006,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.38963682626926155,0.3364933599403936,0.05314346632886796
WORRYD_W26,socioeco,"Less than $30,000","$100,000 or more",0.68089223,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.5158582725451515,0.540736233609316,-0.02487796106416451
WORRYE_W26,socioeco,"Less than $30,000","$100,000 or more",0.295965820952076,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3720788868281113,0.36205865386660857,0.010020232961502729
