attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
gender,Male,Female,declared,,Declared,All,484,968,0.14910505453674847,0.5020661157024794,0.4927685950413223,0.5113636363636364,0.5020661157024794,0.5020661157024794,0.5,0.0020661157024793875,-0.00723140495867769,0.011363636363636354,0.36481759120439783
gender,Male,Female,declared,,Declared,Q1,121,242,0.028549971618702995,0.49586776859504134,0.4793388429752066,0.512396694214876,0.49586776859504134,0.49586776859504134,0.5,-0.004132231404958664,-0.020661157024793375,0.012396694214875992,0.7641179410294853
gender,Male,Female,declared,,Declared,Q2,121,242,0.07189303539381058,0.5,0.4834710743801653,0.5165289256198347,0.5,0.5,0.5,0.0,-0.01652892561983471,0.016528925619834656,0.5902048975512244
gender,Male,Female,declared,,Declared,Q3,121,242,0.1451051137081419,0.4834710743801653,0.4628099173553719,0.5041322314049587,0.4834710743801653,0.4834710743801653,0.5,-0.01652892561983471,-0.037190082644628086,0.004132231404958664,0.9735132433783108
gender,Male,Female,declared,,Declared,Q4,121,242,0.3508720974263384,0.5289256198347108,0.5082644628099173,0.5495867768595041,0.5289256198347108,0.5289256198347108,0.5,0.02892561983471076,0.008264462809917328,0.04958677685950408,0.001999000499750125
gender,Male,Female,steered,0.0,Neutral (N=0),All,484,968,0.14910505453674847,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q1,121,242,0.028549971618702995,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q2,121,242,0.07189303539381058,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q3,121,242,0.1451051137081419,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q4,121,242,0.3508720974263384,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,2.0,Steered N=2,All,484,968,0.14910505453674847,0.5,0.49483471074380164,0.5051652892561983,0.5,0.5,0.5,0.0,-0.005165289256198358,0.005165289256198302,0.5642178910544727
