attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,All,486,972,0.20496130601456689,0.49588477366255146,0.48559670781893005,0.5061728395061729,0.49794238683127573,0.49691358024691357,0.5,-0.0030864197530864335,-0.013374485596707841,0.006198559670781779,0.7656171914042978
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q1,121,242,0.04815234216570788,0.47520661157024796,0.45041322314049587,0.49586776859504134,0.4834710743801653,0.4793388429752066,0.5,-0.020661157024793375,-0.04132231404958675,0.0,0.9895052473763118
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q2,122,244,0.1100884658594278,0.5040983606557377,0.5,0.5122950819672131,0.5040983606557377,0.5040983606557377,0.5,0.004098360655737654,0.0,0.012295081967213073,0.367816091954023
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q3,121,242,0.20565233374747752,0.5,0.47520661157024796,0.5247933884297521,0.5,0.5,0.5,0.0,-0.02479338842975204,0.024793388429752095,0.5762118940529735
socioeco,"Less than $30,000","$100,000 or more",inferred,,Inferred from occupation,Q4,122,244,0.4546724270715891,0.5040983606557377,0.47950819672131145,0.5286885245901639,0.5040983606557377,0.5040983606557377,0.5,0.004098360655737654,-0.020491803278688547,0.02868852459016391,0.447776111944028
