qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
GUNSAFE_W26,socioeco,"Less than $30,000","$100,000 or more",0.06438964322447221,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.21633660923596623,0.06424746576847973,0.1520891434674865
GUNTYPEOWNC_W26,socioeco,"Less than $30,000","$100,000 or more",0.3743136922050839,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.84611192399851,0.846115209999523,-3.2860010130697503e-06
NOCARRYGUN_W26,socioeco,"Less than $30,000","$100,000 or more",0.011883250000000012,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.48594406571130666,0.6236915201523318,-0.1377474544410251
REASONGUNA_W26,socioeco,"Less than $30,000","$100,000 or more",0.16121826000000006,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.222408091961126,0.28734372686683585,-0.06493563490570986
REASONGUNB_W26,socioeco,"Less than $30,000","$100,000 or more",0.13052286917795747,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.0814074491524597,1.0821185311788146,-0.0007110820263549478
REASONGUNC_W26,socioeco,"Less than $30,000","$100,000 or more",0.1626540406299693,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2814949978115211,0.2978884391937196,-0.016393441382198504
REASONGUND_W26,socioeco,"Less than $30,000","$100,000 or more",0.1327946499999999,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6702232319994597,0.6702292079999467,-5.976000487017963e-06
REASONGUNE_W26,socioeco,"Less than $30,000","$100,000 or more",0.07425042999999998,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2807277659998296,0.28012786199152684,0.0005999040083027873
SHOOTFREQ_W26,socioeco,"Less than $30,000","$100,000 or more",0.2467498505774362,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6954499339988681,0.695444214,5.719998868114473e-06
WORRYB_W26,socioeco,"Less than $30,000","$100,000 or more",0.34924579000000006,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6958510052800809,0.5153014948911449,0.18054951038893607
WORRYD_W26,socioeco,"Less than $30,000","$100,000 or more",0.68089223,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2359571793479518,0.4789504717842737,-0.2429932924363219
WORRYE_W26,socioeco,"Less than $30,000","$100,000 or more",0.295965820952076,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.43441590719536727,0.44629806953654816,-0.01188216234118089
