position,occupation_cue,income_group,n_cases,mean_layer_accuracy,majority_accuracy,mean_socioeco_strength,mean_education_strength,mean_gender_strength,mean_age_strength
after_occupation,advertising sales agent,high,1,0.4827586206896552,1.0,0.3673217403448277,0.4635477417241379,0.529895161724138,0.3572008872413792
after_occupation,food service manager,high,1,0.3103448275862069,0.0,0.3570791789655173,0.4250263196551724,0.5458968924137931,0.3894007589655172
after_occupation,lodging manager,high,1,0.4482758620689655,1.0,0.37546192862068967,0.4612775427586206,0.5634881217241379,0.36694545689655167
after_occupation,mail clerk outside the postal service,low,1,0.06896551724137931,0.0,0.36055318206896547,0.44573823034482757,0.45341911344827585,0.3845897486206896
after_occupation,packaging machine operator,low,1,0.20689655172413793,0.0,0.39565405034482753,0.4728989568965517,0.5632316048275862,0.3590408513793103
after_occupation,personal care worker,low,1,0.27586206896551724,0.0,0.39225295758620693,0.47717409758620694,0.4891609648275862,0.3521638451724137
after_occupation,personal service manager,high,1,0.5517241379310345,1.0,0.3667890479310345,0.43693864000000004,0.5086942624137931,0.3615666882758621
after_occupation,production helper,low,1,0.27586206896551724,0.0,0.3772817751724138,0.43589566517241374,0.5073005162068965,0.33029115241379314
after_occupation,property manager,high,1,0.3448275862068966,0.0,0.3716393531034483,0.4483858572413793,0.5611079934482759,0.37475982241379313
after_occupation,tour guide,low,1,0.13793103448275862,0.0,0.403302684137931,0.47051488827586196,0.5334418055172414,0.3669739589655172
final_prompt,advertising sales agent,high,494,0.31641770208013403,0.010121457489878543,0.3893939555067709,0.47053085635767133,0.5365326016145471,0.3884896701270418
final_prompt,food service manager,high,494,0.3032947089208432,0.0020242914979757085,0.3909575951263437,0.47004670372260227,0.5403236097689516,0.39118807308180925
final_prompt,lodging manager,high,494,0.30929778025966775,0.0020242914979757085,0.38945608949741733,0.4707202561559402,0.5418234502722323,0.3908359685732235
final_prompt,mail clerk outside the postal service,low,494,0.15098422448694682,0.0020242914979757085,0.3863586808271674,0.4674566305549351,0.5432349980559821,0.3856583098478291
final_prompt,packaging machine operator,low,494,0.14770347619712412,0.0,0.3874266979268463,0.46623444240262457,0.5394231603287729,0.38647975271324864
final_prompt,personal care worker,low,494,0.16696914700544463,0.0020242914979757085,0.38602868208920843,0.467672803051794,0.5404327826727627,0.3900916318881753
final_prompt,personal service manager,high,494,0.30678486667597377,0.008097165991902834,0.3881262833931314,0.47172468443808463,0.5382815854600027,0.3896232437498255
final_prompt,production helper,low,494,0.16473544604216112,0.0020242914979757085,0.38652455697682536,0.471896508275164,0.5399688062962447,0.3857558001877705
final_prompt,property manager,high,494,0.3058774256596398,0.0020242914979757085,0.3883581789885523,0.47228817976197124,0.5425598081027503,0.3914473770180092
final_prompt,tour guide,low,494,0.14644701940527713,0.0,0.3906963733051794,0.46895514782702774,0.5409781428081809,0.38906251060240127
