magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions,n_conditions,delta_normalized_entropy_vs_n0,delta_top_mass_vs_n0,delta_nonordinal_mass_vs_n0
0.0,0.9080907348955282,0.6920315128801884,2.594820534073242,0.6224885802140028,0.0016456999707991603,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494,5928,0.0,0.0,0.0
2.0,0.9228049290843329,0.7047452664804519,2.6308889612637434,0.6176426749966487,0.001769168451479344,0.0,0.06713900134952766,0.0620782726045884,0.0043859649122807015,494,5928,0.0127137536002635,-0.004845905217354063,0.00012346848068018365
4.0,0.9564756772344095,0.731805834904935,2.720788291827269,0.5989818598333093,0.002112918286138586,0.00016869095816464237,0.057186234817813764,0.0907557354925776,0.004723346828609987,494,5928,0.03977432202474662,-0.023506720380693458,0.0004672183153394257
6.0,0.9864930224821602,0.7544239738720242,2.81380184109435,0.5759678159150249,0.0026833847257323,0.0005060728744939271,0.058029689608636977,0.14018218623481782,0.008940620782726045,494,5928,0.06239246099183582,-0.04652076429897789,0.0010376847549331395
8.0,0.9986552437261734,0.7633763744813504,2.8529033370029406,0.5658443563247021,0.0034019111329993226,0.0016869095816464238,0.05684885290148448,0.16767881241565452,0.012989203778677462,494,5928,0.07134486160116205,-0.05664422388930068,0.0017562111622001623
10.0,1.0084411821760433,0.7705090290451847,2.8786730457137732,0.5619598114876027,0.003995339950058727,0.003036437246963563,0.05381241565452092,0.1720647773279352,0.014844804318488529,494,5928,0.07847751616499632,-0.06052876872640012,0.0023496399792595664
12.0,1.0160595775648344,0.7757528821884105,2.8999871393921146,0.5604691413765638,0.004426889588723598,0.004217273954116059,0.051450742240215924,0.16666666666666666,0.015350877192982455,494,5928,0.08372136930822216,-0.06201943883743899,0.002781189617924438
14.0,1.0226946897228903,0.7804501500740338,2.9161035099975297,0.5583601399701145,0.004708849447335783,0.005398110661268556,0.04807692307692308,0.1632928475033738,0.01282051282051282,494,5928,0.08841863719384546,-0.06412844024388831,0.003063149476536623
16.0,1.0329280513152095,0.7881493098051351,2.9393441583898055,0.5524954702807642,0.004887974907318465,0.005904183535762483,0.041666666666666664,0.15856950067476383,0.008265856950067476,494,5928,0.09611779692494671,-0.0699931099332386,0.0032422749365193047
18.0,1.0452891284536336,0.7975902017211179,2.9673320861944044,0.5452937987868148,0.004984557585224041,0.005904183535762483,0.035931174089068825,0.1545209176788124,0.003879892037786775,494,5928,0.10555868884092956,-0.07719478142718794,0.0033388576144248805
20.0,1.0578397541260351,0.8071840306149694,2.996347617587565,0.5378614632246493,0.005011093597266304,0.006578947368421052,0.030195681511470986,0.14591767881241566,0.0015182186234817814,494,5928,0.11515251773478097,-0.08462711698935343,0.0033653936264671433
