model,attribute,group_a,group_b,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,quartile,n_questions,mean_human_gap,mean_difference,median_difference,own_profile_closer_rate,tie_rate,fractional_win_rate,p_value_one_sided,p_value_holm,significant_holm_0.05,display_regime,selected_magnitude
qwen,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.15881091998672503,-2.499999917748852e-06,0.5471698113207547,0.05660377358490566,0.5754716981132075,0.08597906579992204,0.5158743947995322,False,Declared,20.0
qwen,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,-0.009773877293241869,-0.00015740997060309514,0.5660377358490566,0.0,0.5660377358490566,0.33705780689432446,1.0,False,Steered,20.0
qwen,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,0.030614986746959894,0.0014468900828910058,0.39622641509433965,0.0,0.39622641509433965,0.8667205515045859,1.0,False,Steered,20.0
llama,education,Less than high school,College graduate/some postgrad,declared,,Declared,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.20937942024170245,0.16142040492370402,0.3018867924528302,0.0,0.3018867924528302,0.9941090718981737,1.0,False,Declared,20.0
llama,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.11780859891687309,-0.10151886728800874,0.660377358490566,0.0,0.660377358490566,0.06227475016635051,0.31137375083175256,False,Declared,20.0
llama,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.10071829483005473,0.08298421505071762,0.41509433962264153,0.0,0.41509433962264153,0.9851231471983699,1.0,False,Steered,20.0
llama,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.12618164037318624,-0.0752327988067984,0.660377358490566,0.0,0.660377358490566,0.0048066973174692934,0.024033486587346466,True,Steered,20.0
mistral,education,Less than high school,College graduate/some postgrad,declared,,Declared,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.07436512095397185,-2.43500026149146e-05,0.5471698113207547,0.0,0.5471698113207547,0.25762711934003074,1.0,False,Declared,2.0
mistral,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.12347433234430087,1.1000003508065959e-06,0.49056603773584906,0.0,0.49056603773584906,0.4735313829789033,1.0,False,Declared,2.0
mistral,education,Less than high school,College graduate/some postgrad,steered,2.0,Steered N=2,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,-0.004542127385170313,0.09467134988176479,0.41509433962264153,0.0,0.41509433962264153,0.8360198303189813,1.0,False,Steered,2.0
mistral,education,Less than high school,College graduate/some postgrad,steered,2.0,Steered N=2,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,0.012733947303892585,-0.0818097224542913,0.6037735849056604,0.0,0.6037735849056604,0.19893288270314802,0.7957315308125921,False,Steered,2.0
qwen,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"Less than $30,000",low,high,Q4,58,0.4314369666090511,0.03548176418761401,-1.749999949396397e-07,0.5,0.06896551724137931,0.5344827586206896,0.5731219491089927,0.5731219491089927,False,Declared,20.0
qwen,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.14575776134433166,-4.999999858590343e-09,0.5,0.06896551724137931,0.5344827586206896,0.09559726744337149,0.19119453488674298,False,Declared,20.0
qwen,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,"Less than $30,000",low,high,Q4,58,0.4314369666090511,-0.025669842229685266,1.0000000238985507e-07,0.46551724137931033,0.017241379310344827,0.47413793103448276,0.3950562721994202,0.3950562721994202,False,Steered,20.0
qwen,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.008646805863559747,-4.409999126431252e-06,0.5862068965517241,0.017241379310344827,0.5948275862068965,0.14261810250194046,0.2852362050038809,False,Steered,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"Less than $30,000",low,high,Q4,58,0.4314369666090511,-0.016333921948002816,-0.022840762532028464,0.5689655172413793,0.0,0.5689655172413793,0.37398870879172497,0.37398870879172497,False,Declared,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.07264808600238457,-0.07131412679572421,0.603448275862069,0.0,0.603448275862069,0.0476106369761204,0.0952212739522408,False,Declared,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,"Less than $30,000",low,high,Q4,58,0.4314369666090511,0.3794937119485024,0.31166004970581057,0.22413793103448276,0.0,0.22413793103448276,0.9999996595194198,0.9999996595194198,False,Steered,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.3057872554484061,-0.3161943884399071,0.6724137931034483,0.0,0.6724137931034483,0.00015664053963132602,0.00031328107926265205,True,Steered,20.0
mistral,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"Less than $30,000",low,high,Q4,58,0.4314369666090511,-0.03500545354178246,-0.0002395099757378505,0.5862068965517241,0.0,0.5862068965517241,0.2369440601351931,0.2369440601351931,False,Declared,2.0
mistral,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.18089947933994865,-8.500000919786643e-08,0.5,0.0,0.5,0.06216427887437985,0.1243285577487597,False,Declared,2.0
mistral,socioeco,"Less than $30,000","$100,000 or more",steered,2.0,Steered N=2,"Less than $30,000",low,high,Q4,58,0.4314369666090511,0.0055461270076731725,0.018932030682113382,0.39655172413793105,0.0,0.39655172413793105,0.8081267861807043,1.0,False,Steered,2.0
mistral,socioeco,"Less than $30,000","$100,000 or more",steered,2.0,Steered N=2,"$100,000 or more",high,low,Q4,58,0.4314369666090511,-0.00791175705776498,0.015408639209604225,0.39655172413793105,0.0,0.39655172413793105,0.5569470887431397,1.0,False,Steered,2.0
