attribute,channel,layer,decoder_layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint,rank
gender,reading,18,17,0.85625,0.85625,0.8562493760823613,0.3840223252773285,0.5,0.35624999999999996,48,1920,480,gender_probe_at_layer_18.pth,16
gender,reading,16,15,0.8520833333333333,0.8520833333333333,0.8520775551128299,0.3950326666235924,0.5,0.3520833333333333,50,1920,480,gender_probe_at_layer_16.pth,17
gender,reading,14,13,0.8125,0.8125,0.812340358985943,0.49280009667078656,0.5,0.3125,39,1920,480,gender_probe_at_layer_14.pth,18
gender,reading,15,14,0.80625,0.80625,0.8061077787092094,0.4554302121202151,0.5,0.30625,50,1920,480,gender_probe_at_layer_15.pth,19
gender,reading,13,12,0.8020833333333334,0.8020833333333334,0.8018898664059955,0.4908081938823064,0.5,0.30208333333333337,47,1920,480,gender_probe_at_layer_13.pth,20
gender,reading,12,11,0.7958333333333333,0.7958333333333334,0.7957446808510638,0.49347346276044846,0.5,0.2958333333333333,50,1920,480,gender_probe_at_layer_12.pth,21
gender,reading,11,10,0.7791666666666667,0.7791666666666666,0.7791053070297305,0.518803079922994,0.5,0.2791666666666667,49,1920,480,gender_probe_at_layer_11.pth,22
gender,reading,10,9,0.7666666666666667,0.7666666666666666,0.7662608695652173,0.5206851810216904,0.5,0.2666666666666667,50,1920,480,gender_probe_at_layer_10.pth,23
gender,reading,9,8,0.7625,0.7625,0.7614397321428572,0.5330472985903422,0.5,0.26249999999999996,49,1920,480,gender_probe_at_layer_9.pth,24
gender,reading,1,0,0.75625,0.75625,0.7519774235859931,0.680525561173757,0.5,0.25625,31,1920,480,gender_probe_at_layer_1.pth,25
gender,reading,8,7,0.75,0.75,0.7496479424190268,0.5381750762462616,0.5,0.25,49,1920,480,gender_probe_at_layer_8.pth,26
gender,reading,7,6,0.7479166666666667,0.7479166666666666,0.7478630437896948,0.5558056384325027,0.5,0.24791666666666667,50,1920,480,gender_probe_at_layer_7.pth,27
gender,reading,4,3,0.7416666666666667,0.7416666666666667,0.7415544941380807,0.606124276916186,0.5,0.2416666666666667,48,1920,480,gender_probe_at_layer_4.pth,28
gender,reading,6,5,0.7416666666666667,0.7416666666666667,0.7412173913043478,0.5736824770768484,0.5,0.2416666666666667,47,1920,480,gender_probe_at_layer_6.pth,29
gender,reading,3,2,0.7375,0.7375,0.7372080088987765,0.6600261827309927,0.5,0.23750000000000004,42,1920,480,gender_probe_at_layer_3.pth,30
gender,reading,2,1,0.7354166666666667,0.7354166666666666,0.7323956645990545,0.6714042474826177,0.5,0.23541666666666672,42,1920,480,gender_probe_at_layer_2.pth,31
gender,reading,5,4,0.7333333333333333,0.7333333333333333,0.7322875816993464,0.588356132308642,0.5,0.23333333333333328,49,1920,480,gender_probe_at_layer_5.pth,32
gender,reading,0,-1,0.5,0.5,0.3333333333333333,0.6931471725304922,0.5,0.0,35,1920,480,gender_probe_at_layer_0.pth,33
age,reading,32,31,0.98625,0.98625,0.986271191092803,0.03848085459321737,0.25,0.73625,37,3200,800,age_probe_at_layer_32.pth,1
age,reading,29,28,0.975,0.975,0.9750542258282457,0.05897529888898134,0.25,0.725,49,3200,800,age_probe_at_layer_29.pth,2
age,reading,26,25,0.97375,0.97375,0.9737987006797786,0.0649212934076786,0.25,0.72375,47,3200,800,age_probe_at_layer_26.pth,3
age,reading,30,29,0.97375,0.97375,0.9738215281061089,0.06014713644981384,0.25,0.72375,49,3200,800,age_probe_at_layer_30.pth,4
age,reading,31,30,0.97375,0.97375,0.9738423067736046,0.055878535844385624,0.25,0.72375,49,3200,800,age_probe_at_layer_31.pth,5
age,reading,23,22,0.9725,0.9724999999999999,0.9725774371919036,0.07918008416891098,0.25,0.7225,38,3200,800,age_probe_at_layer_23.pth,6
age,reading,28,27,0.9725,0.9724999999999999,0.97259835822283,0.061875997111201286,0.25,0.7225,47,3200,800,age_probe_at_layer_28.pth,7
age,reading,20,19,0.97,0.97,0.9700432618807259,0.08095190860331059,0.25,0.72,47,3200,800,age_probe_at_layer_20.pth,8
age,reading,25,24,0.97,0.97,0.9700506485103295,0.06896018609404564,0.25,0.72,49,3200,800,age_probe_at_layer_25.pth,9
age,reading,18,17,0.96875,0.96875,0.9688298226518121,0.09991814941167831,0.25,0.71875,46,3200,800,age_probe_at_layer_18.pth,10
age,reading,19,18,0.96875,0.96875,0.9689238732353602,0.09111761674284935,0.25,0.71875,44,3200,800,age_probe_at_layer_19.pth,11
age,reading,22,21,0.96875,0.96875,0.9688016764733045,0.07502475008368492,0.25,0.71875,49,3200,800,age_probe_at_layer_22.pth,12
age,reading,17,16,0.9675,0.9675,0.9675518039368589,0.10584145039319992,0.25,0.7175,45,3200,800,age_probe_at_layer_17.pth,13
age,reading,24,23,0.9675,0.9675,0.9675705257465197,0.06857334263622761,0.25,0.7175,50,3200,800,age_probe_at_layer_24.pth,14
age,reading,27,26,0.9675,0.9675,0.9675475730156728,0.06176811084151268,0.25,0.7175,50,3200,800,age_probe_at_layer_27.pth,15
