magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions,n_conditions,delta_normalized_entropy_vs_n0,delta_top_mass_vs_n0,delta_nonordinal_mass_vs_n0
0.0,0.18687959335521254,0.14053028233855472,1.2590715574155766,0.9205946852129716,0.008459676410151827,0.008097165991902834,0.7469635627530364,0.006072874493927126,0.6619433198380567,494,5928,0.0,0.0,0.0
2.0,1.1488794136734182,0.876183285216092,3.2281825312568357,0.4704347434490779,0.00681539853051347,0.007422402159244264,0.0,0.16902834008097167,0.0,494,5928,0.7356530028775373,-0.45015994176389373,-0.0016442778796383565
4.0,1.1603266147689704,0.8848483640171323,3.264001483430678,0.46394476397553064,0.0064974107131359005,0.006072874493927126,0.0,0.2149122807017544,0.0,494,5928,0.7443180816785776,-0.45664992123744097,-0.0019622656970159262
6.0,1.1550875388438515,0.8805829473542351,3.247445739571301,0.47170359441596205,0.006368327276112972,0.006747638326585695,0.0,0.19804318488529016,0.0,494,5928,0.7400526650156805,-0.44889109079700956,-0.002091349134038855
8.0,1.1518653559641565,0.877980190317873,3.237150595497697,0.4771377369231939,0.006289278380020559,0.005904183535762483,0.0,0.17223346828609987,0.0,494,5928,0.7374499079793183,-0.4434569482897777,-0.0021703980301312677
10.0,1.149909194864898,0.8763835913431736,3.2308602309467074,0.4800775272822006,0.006253126377753331,0.005398110661268556,0.0,0.1533400809716599,0.0,494,5928,0.7358533090046189,-0.440517157930771,-0.002206550032398496
12.0,1.147965881800748,0.8748326633836436,3.224709162596856,0.4824044890083355,0.006219810495938323,0.005398110661268556,0.0,0.14659244264507423,0.0,494,5928,0.7343023810450889,-0.4381901962046361,-0.002239865914213504
14.0,1.14760046070062,0.8745275442499285,3.2234688087241614,0.48304009554612237,0.006195899741986936,0.005398110661268556,0.0,0.1425438596491228,0.0,494,5928,0.7339972619113738,-0.43755458966684924,-0.002263776668164891
16.0,1.1466141918088946,0.8737484364913568,3.2203077022701128,0.4840447682136807,0.006178429885710087,0.005398110661268556,0.0,0.13225371120107962,0.0,494,5928,0.7332181541528021,-0.4365499169992909,-0.00228124652444174
18.0,1.1462407908987673,0.8734333974798565,3.2192252316301078,0.48452246523534337,0.0061749884577324025,0.005398110661268556,0.0,0.12550607287449392,0.0,494,5928,0.7329031151413018,-0.43607221997762824,-0.0022846879524194242
20.0,1.145714944498346,0.8730086805460312,3.217566439950908,0.48500495982121816,0.006163815211943544,0.005398110661268556,0.0,0.11858974358974358,0.0,494,5928,0.7324783982074765,-0.43558972539175345,-0.002295861198208283
