attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
age,adolescent,0.0,0.18687959335521254,0.14053028233855472,1.2590715574155766,0.9205946852129716,0.008459676410151827,0.008097165991902834,0.7469635627530364,0.006072874493927126,0.6619433198380567,494
age,adolescent,2.0,1.161949019613277,0.8888694393919288,3.2505500723783847,0.46256214581551075,0.00750794248374743,0.008097165991902834,0.0,0.15789473684210525,0.0,494
age,adolescent,4.0,1.162441094616104,0.888491068121665,3.2538666849105207,0.4960554161109804,0.007516682748396306,0.004048582995951417,0.0,0.0931174089068826,0.0,494
age,adolescent,6.0,1.165103577093784,0.890055142237687,3.264035369381829,0.5016646477501349,0.007457521862170377,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,8.0,1.1725143003158347,0.8953827624138885,3.2896240269139083,0.4977947162842818,0.007462472228709746,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,10.0,1.1740551680698488,0.8963395704851264,3.2955694743255157,0.4985086189625347,0.007436391865692513,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,12.0,1.1745248286391747,0.8966346781453035,3.2974137608693432,0.4993983498829413,0.007424123610036108,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,14.0,1.177870199569334,0.89909130640995,3.3089550933853826,0.49655882212075736,0.007420574538443302,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,16.0,1.1806238748501463,0.9011273489592002,3.3184874504088158,0.49467696193181276,0.007413778610948479,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,18.0,1.1828832314086988,0.9028047305828502,3.32626358210979,0.4926082168323929,0.007408175441703304,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adolescent,20.0,1.182261336722717,0.9022638689658297,3.324457473303003,0.49372202185270053,0.007381390296710307,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,0.0,0.18687959335521254,0.14053028233855472,1.2590715574155766,0.9205946852129716,0.008459676410151827,0.008097165991902834,0.7469635627530364,0.006072874493927126,0.6619433198380567,494
age,adult,2.0,1.1047545057807182,0.8420020314661941,3.089101207805233,0.5192370358307465,0.011251520491726745,0.020242914979757085,0.0,0.05465587044534413,0.0,494
age,adult,4.0,1.0806653670208057,0.8222953912734488,3.015733104454753,0.5723542155002336,0.01057955495286558,0.016194331983805668,0.0,0.02834008097165992,0.0,494
age,adult,6.0,1.0619119962518566,0.8067557604777837,2.9635233138604655,0.5879544213386682,0.010162455602729836,0.016194331983805668,0.0,0.030364372469635626,0.0,494
age,adult,8.0,1.0548356457205934,0.80058017531299,2.94565020055757,0.593065565815341,0.009895005889335036,0.010121457489878543,0.0,0.030364372469635626,0.0,494
age,adult,10.0,1.0516431967640485,0.7977328974325972,2.9379350033215927,0.5953589385617489,0.009743449789770492,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,12.0,1.0434888416872365,0.7911239959256039,2.9157917869550842,0.601169351003472,0.00959263229043845,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,14.0,1.0405256753191134,0.7886231867895956,2.908277431854076,0.603419209132707,0.009443085538420428,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,16.0,1.0404632571349666,0.7884168654206499,2.908793359262876,0.6033498242657069,0.009413699124805426,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,18.0,1.0393152083343027,0.7874324167874494,2.9059558076574565,0.6039360245357409,0.009360305311698493,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,adult,20.0,1.0410785457672296,0.7887032192623427,2.9114203671211065,0.6026025263502894,0.009357008079428842,0.004048582995951417,0.0,0.030364372469635626,0.0,494
age,child,0.0,0.18687959335521254,0.14053028233855472,1.2590715574155766,0.9205946852129716,0.008459676410151827,0.008097165991902834,0.7469635627530364,0.006072874493927126,0.6619433198380567,494
age,child,2.0,1.1946566571012454,0.9080613645264197,3.392915377618889,0.45263646180071176,0.0065584028924453065,0.008097165991902834,0.0,0.3299595141700405,0.0,494
age,child,4.0,1.2532069414578828,0.9542232168484484,3.5837004282114853,0.38858079632696785,0.005953780796970595,0.008097165991902834,0.0,0.6518218623481782,0.0,494
age,child,6.0,1.2528061306790703,0.9545749383951984,3.578027097440724,0.3818596839660131,0.005692981594528648,0.004048582995951417,0.0,0.708502024291498,0.0,494
age,child,8.0,1.24718176316795,0.9507080850328167,3.5553519805854603,0.39428870521622966,0.005444454496158609,0.0,0.0,0.5040485829959515,0.0,494
age,child,10.0,1.2419889637063575,0.9469553595198625,3.535529329193067,0.40471640273908854,0.005379886941168382,0.0,0.0,0.34210526315789475,0.0,494
age,child,12.0,1.2394848701822665,0.945263224085225,3.525515137542097,0.41044011583338064,0.0053437430326293426,0.0,0.0,0.34210526315789475,0.0,494
age,child,14.0,1.235923451559549,0.9427158221827612,3.5119878485714158,0.4165576978800046,0.005249059959160657,0.0,0.0,0.3259109311740891,0.0,494
age,child,16.0,1.2327410192771855,0.94040624127419,3.5000997218911483,0.4211930738062412,0.0052118001139496405,0.0,0.0,0.27125506072874495,0.0,494
age,child,18.0,1.2314383110868932,0.9395500302966351,3.4948271403682414,0.4237581740911638,0.00519342328636239,0.0,0.0,0.25303643724696356,0.0,494
age,child,20.0,1.2296457399754865,0.9382676440315427,3.488092659409962,0.42632155819067924,0.005170025599046381,0.0,0.0,0.22064777327935223,0.0,494
age,older_adult,0.0,0.18687959335521254,0.14053028233855472,1.2590715574155766,0.9205946852129716,0.008459676410151827,0.008097165991902834,0.7469635627530364,0.006072874493927126,0.6619433198380567,494
age,older_adult,2.0,1.1144164782450807,0.8498684274364097,3.106213361359101,0.4935579236120878,0.004920418546852999,0.0,0.0,0.05465587044534413,0.0,494
age,older_adult,4.0,1.113624357070616,0.8480234656928101,3.1014678650185252,0.4981601312294824,0.003955328182481354,0.0,0.0,0.0,0.0,494
