qkey,attribute,channel,magnitude,class_a_idx,class_a,class_b_idx,class_b,wasserstein,total_variation
CARRYGUN_W26,education,declared,,0,some schooling,2,college and more,0.6380468562505712,0.2374669541250778
CARRYGUN_W26,education,declared,,1,high school,2,college and more,0.7336756351099585,0.2580665259755763
CARRYGUN_W26,education,steered,0.0,0,some schooling,1,high school,0.0,0.0
CARRYGUN_W26,education,steered,0.0,0,some schooling,2,college and more,0.0,0.0
CARRYGUN_W26,education,steered,0.0,1,high school,2,college and more,0.0,0.0
CARRYGUN_W26,education,steered,1.0,0,some schooling,1,high school,0.04592993601087156,0.022354999040104226
CARRYGUN_W26,education,steered,1.0,0,some schooling,2,college and more,0.11374909337812626,0.0460206185535208
CARRYGUN_W26,education,steered,1.0,1,high school,2,college and more,0.0678191573672547,0.02523993899743636
CARRYGUN_W26,education,steered,3.0,0,some schooling,1,high school,0.23252373000000004,0.09144189999999999
CARRYGUN_W26,education,steered,3.0,0,some schooling,2,college and more,0.33380425305223105,0.14347467040957484
CARRYGUN_W26,education,steered,3.0,1,high school,2,college and more,0.10128052305223101,0.052032770409574866
CARRYGUN_W26,education,steered,5.0,0,some schooling,1,high school,0.6506962548020343,0.263184258964546
CARRYGUN_W26,education,steered,5.0,0,some schooling,2,college and more,0.764922746058736,0.33970416262167835
CARRYGUN_W26,education,steered,5.0,1,high school,2,college and more,0.1142264912567016,0.07651990365713232
CARRYGUN_W26,education,steered,7.0,0,some schooling,1,high school,0.7977096470158405,0.37255222938918986
CARRYGUN_W26,education,steered,7.0,0,some schooling,2,college and more,1.0600501722626507,0.511394942166044
CARRYGUN_W26,education,steered,7.0,1,high school,2,college and more,0.26234052524681045,0.13884271277685423
CARRYGUN_W26,education,steered,9.0,0,some schooling,1,high school,0.41284510035605354,0.2595427794687847
CARRYGUN_W26,education,steered,9.0,0,some schooling,2,college and more,0.8377508929248003,0.5028295992114618
CARRYGUN_W26,education,steered,9.0,1,high school,2,college and more,0.4321420483928975,0.2588448170577591
CARRYGUN_W26,education,steered,13.0,0,some schooling,1,high school,0.6483003403075804,0.3329071287782115
CARRYGUN_W26,education,steered,13.0,0,some schooling,2,college and more,0.5288313385064892,0.4645662150170213
CARRYGUN_W26,education,steered,13.0,1,high school,2,college and more,0.6287603600354612,0.46451750821680093
CARRYGUN_W26,socioeco,declared,,0,low,1,mid,0.06752346068251269,0.058269418909600385
CARRYGUN_W26,socioeco,declared,,0,low,2,high,0.11960001647929602,0.07815998103494215
CARRYGUN_W26,socioeco,declared,,1,mid,2,high,0.05207655579678333,0.027288530225614536
CARRYGUN_W26,socioeco,steered,0.0,0,low,1,mid,0.0,0.0
CARRYGUN_W26,socioeco,steered,0.0,0,low,2,high,0.0,0.0
CARRYGUN_W26,socioeco,steered,0.0,1,mid,2,high,0.0,0.0
CARRYGUN_W26,socioeco,steered,1.0,0,low,1,mid,0.021251094585284083,0.010030712059444715
CARRYGUN_W26,socioeco,steered,1.0,0,low,2,high,0.03110323225132454,0.02494972000178288
CARRYGUN_W26,socioeco,steered,1.0,1,mid,2,high,0.03360954510430225,0.0297323452943991
CARRYGUN_W26,socioeco,steered,3.0,0,low,1,mid,0.04545100691651384,0.02887269087903111
CARRYGUN_W26,socioeco,steered,3.0,0,low,2,high,0.08527848329673224,0.0406492938906292
CARRYGUN_W26,socioeco,steered,3.0,1,mid,2,high,0.1307294902132461,0.061547338657201654
CARRYGUN_W26,socioeco,steered,5.0,0,low,1,mid,0.10943687772960374,0.08918058219549749
CARRYGUN_W26,socioeco,steered,5.0,0,low,2,high,0.20852908934741526,0.09264468417452305
CARRYGUN_W26,socioeco,steered,5.0,1,mid,2,high,0.1856242615536573,0.09968940273146051
CARRYGUN_W26,socioeco,steered,7.0,0,low,1,mid,0.3621487639961908,0.2852455024588316
CARRYGUN_W26,socioeco,steered,7.0,0,low,2,high,0.3269416758098585,0.19509698416168558
CARRYGUN_W26,socioeco,steered,7.0,1,mid,2,high,0.14508994840795988,0.1276476271522894
CARRYGUN_W26,socioeco,steered,9.0,0,low,1,mid,0.7643371605608392,0.51423000924619
CARRYGUN_W26,socioeco,steered,9.0,0,low,2,high,0.5165506995363027,0.35011871265094446
CARRYGUN_W26,socioeco,steered,9.0,1,mid,2,high,0.2477864610245365,0.16411129659524554
CARRYGUN_W26,socioeco,steered,13.0,0,low,1,mid,0.9392704898664888,0.6154795616087939
CARRYGUN_W26,socioeco,steered,13.0,0,low,2,high,0.6645490092454753,0.5217609060085046
CARRYGUN_W26,socioeco,steered,13.0,1,mid,2,high,0.325319723346662,0.1439486491841242
GROWUPGUN2A_W26,gender,declared,,0,male,1,female,0.12065786382388244,0.12065786382388247
GROWUPGUN2A_W26,gender,steered,0.0,0,male,1,female,0.0,0.0
GROWUPGUN2A_W26,gender,steered,1.0,0,male,1,female,0.01339324906780015,0.01339324906780015
GROWUPGUN2A_W26,gender,steered,3.0,0,male,1,female,0.06253767187613013,0.06253767187613014
GROWUPGUN2A_W26,gender,steered,5.0,0,male,1,female,0.1944865032359554,0.19448650323595543
GROWUPGUN2A_W26,gender,steered,7.0,0,male,1,female,0.395387817724504,0.39538781772450404
GROWUPGUN2A_W26,gender,steered,9.0,0,male,1,female,0.5042935673893213,0.5042935673893212
GROWUPGUN2A_W26,gender,steered,13.0,0,male,1,female,0.5480056400000001,0.54800564
GROWUPGUN2A_W26,age,declared,,0,child,1,adolescent,0.08904995674980937,0.08904995674980931
GROWUPGUN2A_W26,age,declared,,0,child,2,adult,0.15019424858413816,0.15019424858413807
GROWUPGUN2A_W26,age,declared,,0,child,3,older_adult,0.4901822395945927,0.4901822395945926
GROWUPGUN2A_W26,age,declared,,1,adolescent,2,adult,0.06114429183432879,0.06114429183432876
GROWUPGUN2A_W26,age,declared,,1,adolescent,3,older_adult,0.4011322828447833,0.4011322828447833
GROWUPGUN2A_W26,age,declared,,2,adult,3,older_adult,0.3399879910104545,0.3399879910104545
GROWUPGUN2A_W26,age,steered,0.0,0,child,1,adolescent,0.0,0.0
GROWUPGUN2A_W26,age,steered,0.0,0,child,2,adult,0.0,0.0
GROWUPGUN2A_W26,age,steered,0.0,0,child,3,older_adult,0.0,0.0
GROWUPGUN2A_W26,age,steered,0.0,1,adolescent,2,adult,0.0,0.0
GROWUPGUN2A_W26,age,steered,0.0,1,adolescent,3,older_adult,0.0,0.0
GROWUPGUN2A_W26,age,steered,0.0,2,adult,3,older_adult,0.0,0.0
GROWUPGUN2A_W26,age,steered,1.0,0,child,1,adolescent,0.002474920872549413,0.002474920872549441
GROWUPGUN2A_W26,age,steered,1.0,0,child,2,adult,0.060868700080962124,0.060868700080962096
GROWUPGUN2A_W26,age,steered,1.0,0,child,3,older_adult,0.03599188912745055,0.03599188912745055
GROWUPGUN2A_W26,age,steered,1.0,1,adolescent,2,adult,0.06334362095351154,0.06334362095351154
GROWUPGUN2A_W26,age,steered,1.0,1,adolescent,3,older_adult,0.03846680999999996,0.03846680999999999
GROWUPGUN2A_W26,age,steered,1.0,2,adult,3,older_adult,0.024876810953511574,0.024876810953511547
GROWUPGUN2A_W26,age,steered,3.0,0,child,1,adolescent,0.00832003024960093,0.00832003024960093
GROWUPGUN2A_W26,age,steered,3.0,0,child,2,adult,0.15501519121759189,0.15501519121759183
GROWUPGUN2A_W26,age,steered,3.0,0,child,3,older_adult,0.10040507942303134,0.10040507942303128
GROWUPGUN2A_W26,age,steered,3.0,1,adolescent,2,adult,0.16333522146719281,0.16333522146719276
GROWUPGUN2A_W26,age,steered,3.0,1,adolescent,3,older_adult,0.10872510967263227,0.10872510967263221
GROWUPGUN2A_W26,age,steered,3.0,2,adult,3,older_adult,0.054610111794560545,0.054610111794560545
GROWUPGUN2A_W26,age,steered,5.0,0,child,1,adolescent,0.006228467377962232,0.006228467377962288
GROWUPGUN2A_W26,age,steered,5.0,0,child,2,adult,0.18684242999295408,0.186842429992954
GROWUPGUN2A_W26,age,steered,5.0,0,child,3,older_adult,0.17482795121759187,0.17482795121759184
GROWUPGUN2A_W26,age,steered,5.0,1,adolescent,2,adult,0.19307089737091632,0.1930708973709163
GROWUPGUN2A_W26,age,steered,5.0,1,adolescent,3,older_adult,0.1810564185955541,0.18105641859555413
GROWUPGUN2A_W26,age,steered,5.0,2,adult,3,older_adult,0.012014478775362214,0.012014478775362158
GROWUPGUN2A_W26,age,steered,7.0,0,child,1,adolescent,0.020487210242421727,0.0204872102424217
GROWUPGUN2A_W26,age,steered,7.0,0,child,2,adult,0.13922385975757834,0.1392238597575783
GROWUPGUN2A_W26,age,steered,7.0,0,child,3,older_adult,0.21348795359536138,0.2134879535953614
GROWUPGUN2A_W26,age,steered,7.0,1,adolescent,2,adult,0.15971107000000007,0.15971107
GROWUPGUN2A_W26,age,steered,7.0,1,adolescent,3,older_adult,0.2339751638377831,0.2339751638377831
GROWUPGUN2A_W26,age,steered,7.0,2,adult,3,older_adult,0.07426409383778304,0.0742640938377831
GROWUPGUN2A_W26,age,steered,9.0,0,child,1,adolescent,0.08998830749610087,0.08998830749610087
GROWUPGUN2A_W26,age,steered,9.0,0,child,2,adult,0.018624695566539118,0.018624695566539146
GROWUPGUN2A_W26,age,steered,9.0,0,child,3,older_adult,0.11343984250389916,0.11343984250389916
GROWUPGUN2A_W26,age,steered,9.0,1,adolescent,2,adult,0.10861300306263999,0.10861300306264002
GROWUPGUN2A_W26,age,steered,9.0,1,adolescent,3,older_adult,0.20342815000000003,0.20342815000000003
GROWUPGUN2A_W26,age,steered,9.0,2,adult,3,older_adult,0.09481514693736004,0.09481514693736001
GROWUPGUN2A_W26,age,steered,13.0,0,child,1,adolescent,0.2909662189118418,0.2909662189118418
GROWUPGUN2A_W26,age,steered,13.0,0,child,2,adult,0.24393056036571037,0.2439305603657104
GROWUPGUN2A_W26,age,steered,13.0,0,child,3,older_adult,0.3662347811698986,0.3662347811698986
GROWUPGUN2A_W26,age,steered,13.0,1,adolescent,2,adult,0.047035658546131454,0.0470356585461314
GROWUPGUN2A_W26,age,steered,13.0,1,adolescent,3,older_adult,0.07526856225805678,0.07526856225805681
GROWUPGUN2A_W26,age,steered,13.0,2,adult,3,older_adult,0.12230422080418824,0.12230422080418821
GROWUPGUN2A_W26,education,declared,,0,some schooling,1,high school,0.1684406188912818,0.16844061889128178
GROWUPGUN2A_W26,education,declared,,0,some schooling,2,college and more,0.302083356545077,0.302083356545077
GROWUPGUN2A_W26,education,declared,,1,high school,2,college and more,0.1336427376537952,0.13364273765379525
GROWUPGUN2A_W26,education,steered,0.0,0,some schooling,1,high school,0.0,0.0
GROWUPGUN2A_W26,education,steered,0.0,0,some schooling,2,college and more,0.0,0.0
GROWUPGUN2A_W26,education,steered,0.0,1,high school,2,college and more,0.0,0.0
GROWUPGUN2A_W26,education,steered,1.0,0,some schooling,1,high school,0.04470548981150202,0.04470548981150205
GROWUPGUN2A_W26,education,steered,1.0,0,some schooling,2,college and more,0.10068716850904758,0.10068716850904755
GROWUPGUN2A_W26,education,steered,1.0,1,high school,2,college and more,0.055981678697545556,0.0559816786975455
GROWUPGUN2A_W26,education,steered,3.0,0,some schooling,1,high school,0.09168932264456953,0.09168932264456954
GROWUPGUN2A_W26,education,steered,3.0,0,some schooling,2,college and more,0.3498952281369239,0.349895228136924
GROWUPGUN2A_W26,education,steered,3.0,1,high school,2,college and more,0.2582059054923544,0.2582059054923544
GROWUPGUN2A_W26,education,steered,5.0,0,some schooling,1,high school,0.05384048375122763,0.05384048375122763
GROWUPGUN2A_W26,education,steered,5.0,0,some schooling,2,college and more,0.4891048542720263,0.4891048542720263
GROWUPGUN2A_W26,education,steered,5.0,1,high school,2,college and more,0.4352643705207987,0.4352643705207987
GROWUPGUN2A_W26,education,steered,7.0,0,some schooling,1,high school,0.08985309730440705,0.08985309730440708
GROWUPGUN2A_W26,education,steered,7.0,0,some schooling,2,college and more,0.42622420533562544,0.4262242053356255
GROWUPGUN2A_W26,education,steered,7.0,1,high school,2,college and more,0.5160773026400325,0.5160773026400326
GROWUPGUN2A_W26,education,steered,9.0,0,some schooling,1,high school,0.3107580776984176,0.31075807769841757
GROWUPGUN2A_W26,education,steered,9.0,0,some schooling,2,college and more,0.248269732551908,0.24826973255190804
GROWUPGUN2A_W26,education,steered,9.0,1,high school,2,college and more,0.5590278102503257,0.5590278102503257
GROWUPGUN2A_W26,education,steered,13.0,0,some schooling,1,high school,0.6103779910624241,0.6103779910624241
GROWUPGUN2A_W26,education,steered,13.0,0,some schooling,2,college and more,0.01308870508953125,0.013088705089531222
GROWUPGUN2A_W26,education,steered,13.0,1,high school,2,college and more,0.5972892859728928,0.5972892859728929
GROWUPGUN2A_W26,socioeco,declared,,0,low,1,mid,0.29400755887567354,0.2940075588756734
GROWUPGUN2A_W26,socioeco,declared,,0,low,2,high,0.1036314171337368,0.10363141713373678
GROWUPGUN2A_W26,socioeco,declared,,1,mid,2,high,0.19037614174193673,0.19037614174193662
GROWUPGUN2A_W26,socioeco,steered,0.0,0,low,1,mid,0.0,0.0
GROWUPGUN2A_W26,socioeco,steered,0.0,0,low,2,high,0.0,0.0
GROWUPGUN2A_W26,socioeco,steered,0.0,1,mid,2,high,0.0,0.0
GROWUPGUN2A_W26,socioeco,steered,1.0,0,low,1,mid,0.03675046919093394,0.03675046919093389
GROWUPGUN2A_W26,socioeco,steered,1.0,0,low,2,high,0.024488170073328153,0.024488170073328153
GROWUPGUN2A_W26,socioeco,steered,1.0,1,mid,2,high,0.01226229911760579,0.012262299117605735
GROWUPGUN2A_W26,socioeco,steered,3.0,0,low,1,mid,0.12224440633266775,0.12224440633266778
GROWUPGUN2A_W26,socioeco,steered,3.0,0,low,2,high,0.1438455629093136,0.14384556290931358
GROWUPGUN2A_W26,socioeco,steered,3.0,1,mid,2,high,0.021601156576645852,0.021601156576645797
GROWUPGUN2A_W26,socioeco,steered,5.0,0,low,1,mid,0.16860107263016366,0.1686010726301637
GROWUPGUN2A_W26,socioeco,steered,5.0,0,low,2,high,0.30229460861935764,0.30229460861935764
GROWUPGUN2A_W26,socioeco,steered,5.0,1,mid,2,high,0.13369353598919398,0.13369353598919398
GROWUPGUN2A_W26,socioeco,steered,7.0,0,low,1,mid,0.18492079638989178,0.18492079638989173
GROWUPGUN2A_W26,socioeco,steered,7.0,0,low,2,high,0.34680068000000003,0.34680068
GROWUPGUN2A_W26,socioeco,steered,7.0,1,mid,2,high,0.16187988361010824,0.16187988361010827
GROWUPGUN2A_W26,socioeco,steered,9.0,0,low,1,mid,0.1689252589011564,0.1689252589011564
GROWUPGUN2A_W26,socioeco,steered,9.0,0,low,2,high,0.29831678460247607,0.2983167846024761
GROWUPGUN2A_W26,socioeco,steered,9.0,1,mid,2,high,0.12939152570131968,0.1293915257013197
GROWUPGUN2A_W26,socioeco,steered,13.0,0,low,1,mid,0.1619507309406235,0.16195073094062346
GROWUPGUN2A_W26,socioeco,steered,13.0,0,low,2,high,0.10299878523930373,0.10299878523930373
