qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
CARRYGUN_W26,socioeco,high,"$100,000 or more",steered,3.0,0.6096348067032678,0.37987564837206744
CARRYGUN_W26,socioeco,high,"$100,000 or more",steered,5.0,0.4756082854757513,0.2953783835038475
CARRYGUN_W26,socioeco,high,"$100,000 or more",steered,7.0,0.46375429952265673,0.25032165906060155
CARRYGUN_W26,socioeco,high,"$100,000 or more",steered,9.0,0.3912338281058687,0.180144202966925
CARRYGUN_W26,socioeco,high,"$100,000 or more",steered,13.0,0.22541050472076385,0.160231788774498
GROWUPGUN2A_W26,gender,male,Male,steered,0.0,0.06505204049465962,0.06505204049465962
GROWUPGUN2A_W26,gender,male,Male,steered,1.0,0.07749329999999999,0.07749330000000001
GROWUPGUN2A_W26,gender,male,Male,steered,3.0,0.1366083726413495,0.13660837264134956
GROWUPGUN2A_W26,gender,male,Male,steered,5.0,0.17234616323595542,0.17234616323595545
GROWUPGUN2A_W26,gender,male,Male,steered,7.0,0.1552842990644968,0.1552842990644968
GROWUPGUN2A_W26,gender,male,Male,steered,9.0,0.13272363245865437,0.13272363245865437
GROWUPGUN2A_W26,gender,male,Male,steered,13.0,0.13061665,0.13061665
GROWUPGUN2A_W26,gender,female,Female,steered,0.0,0.09151012049465967,0.09151012049465965
GROWUPGUN2A_W26,gender,female,Female,steered,1.0,0.09055813093219989,0.09055813093219989
GROWUPGUN2A_W26,gender,female,Female,steered,3.0,0.10052878076521943,0.10052878076521943
GROWUPGUN2A_W26,gender,female,Female,steered,5.0,0.00431774000000007,0.004317740000000042
GROWUPGUN2A_W26,gender,female,Female,steered,7.0,0.21364543866000713,0.21364543866000715
GROWUPGUN2A_W26,gender,female,Female,steered,9.0,0.3451118549306669,0.3451118549306668
GROWUPGUN2A_W26,gender,female,Female,steered,13.0,0.39093091,0.39093091
GROWUPGUN2A_W26,age,adult,30-49,steered,0.0,0.006732250494659642,0.006732250494659614
GROWUPGUN2A_W26,age,adult,30-49,steered,1.0,0.04154012095351156,0.04154012095351156
GROWUPGUN2A_W26,age,adult,30-49,steered,3.0,0.1241852,0.1241852
GROWUPGUN2A_W26,age,adult,30-49,steered,5.0,0.1560124387753622,0.15601243877536217
GROWUPGUN2A_W26,age,adult,30-49,steered,7.0,0.14089954000000005,0.14089954000000002
GROWUPGUN2A_W26,age,adult,30-49,steered,9.0,0.11184440306263999,0.11184440306264001
GROWUPGUN2A_W26,age,adult,30-49,steered,13.0,0.10525435000000005,0.10525435000000002
GROWUPGUN2A_W26,age,older_adult,65+,steered,0.0,0.35812818049465966,0.35812818049465966
GROWUPGUN2A_W26,age,older_adult,65+,steered,1.0,0.33473262000000004,0.33473262000000004
GROWUPGUN2A_W26,age,older_adult,65+,steered,3.0,0.2818208417945606,0.2818208417945606
GROWUPGUN2A_W26,age,older_adult,65+,steered,5.0,0.20739797000000004,0.20739797000000001
GROWUPGUN2A_W26,age,older_adult,65+,steered,7.0,0.13623229616221694,0.1362322961622169
GROWUPGUN2A_W26,age,older_adult,65+,steered,9.0,0.14473638,0.14473638
GROWUPGUN2A_W26,age,older_adult,65+,steered,13.0,0.3684458008041882,0.3684458008041882
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,0.0,0.031912839505340296,0.03191283950534035
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,1.0,0.002587260000000091,0.0025872600000000356
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,3.0,0.046824832856789844,0.0468248328567898
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,5.0,0.022798944272026334,0.022798944272026278
