qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GROWUPGUN6_W26,socioeco,mid,"$50,000-$75,000",declared,,0.3836876211556876,0.21223860512956375
GROWUPGUN6_W26,socioeco,high,"$100,000 or more",declared,,0.35916471711098596,0.19721344387292813
GROWUPGUN7_W26,gender,male,Male,declared,,1.0316020314034569,0.5135533802378112
GROWUPGUN7_W26,gender,female,Female,declared,,0.7437041866854254,0.3176663449685614
GROWUPGUN7_W26,age,adult,30-49,declared,,0.45017294880514713,0.3134900945168021
GROWUPGUN7_W26,age,older_adult,65+,declared,,0.7996071856180498,0.45026288498847333
GROWUPGUN7_W26,education,some schooling,Less than high school,declared,,0.9189484887888623,0.40178236909819154
GROWUPGUN7_W26,education,high school,High school graduate,declared,,0.26518741365788867,0.2651874136578886
GROWUPGUN7_W26,education,college and more,College graduate/some postgrad,declared,,0.7776438702042225,0.4004862714526141
GROWUPGUN7_W26,socioeco,low,"Less than $30,000",declared,,0.22846267951801094,0.19159440560773952
GROWUPGUN7_W26,socioeco,mid,"$50,000-$75,000",declared,,0.32374394628045344,0.32374394628045344
GROWUPGUN7_W26,socioeco,high,"$100,000 or more",declared,,0.4681831297483986,0.2514554902409654
GROWUPVIOL_W26,gender,male,Male,declared,,0.35639590308359614,0.24861159186302484
GROWUPVIOL_W26,gender,female,Female,declared,,0.4978304082800082,0.20991480506175453
GROWUPVIOL_W26,age,adult,30-49,declared,,0.26015899168979895,0.2431062362993041
GROWUPVIOL_W26,age,older_adult,65+,declared,,1.78491698,0.65038222
GROWUPVIOL_W26,education,some schooling,Less than high school,declared,,0.7082851284682261,0.37053937897778577
GROWUPVIOL_W26,education,high school,High school graduate,declared,,0.37670146930491094,0.24307870134306273
GROWUPVIOL_W26,education,college and more,College graduate/some postgrad,declared,,1.0642491257207785,0.43274807371497837
GROWUPVIOL_W26,socioeco,low,"Less than $30,000",declared,,0.19039763495573792,0.19039763495573792
GROWUPVIOL_W26,socioeco,mid,"$50,000-$75,000",declared,,0.22158416127483982,0.14332963221289807
GROWUPVIOL_W26,socioeco,high,"$100,000 or more",declared,,0.16935900787200805,0.1425777060249162
GUNACCESS_W26,gender,male,Male,declared,,1.0689216061179343,0.4431410424603111
GUNACCESS_W26,gender,female,Female,declared,,0.5776930323521585,0.2813134358056001
GUNACCESS_W26,age,adult,30-49,declared,,0.5103919699186885,0.2816404009131315
GUNACCESS_W26,age,older_adult,65+,declared,,0.87524293,0.32109029
GUNACCESS_W26,education,some schooling,Less than high school,declared,,1.823007648739988,0.6620159735153397
GUNACCESS_W26,education,high school,High school graduate,declared,,0.83226704,0.35277148999999997
GUNACCESS_W26,education,college and more,College graduate/some postgrad,declared,,0.8644394579274886,0.3765786430859618
GUNACCESS_W26,socioeco,low,"Less than $30,000",declared,,0.6164054136416374,0.25351966144317406
GUNACCESS_W26,socioeco,mid,"$50,000-$75,000",declared,,0.6881844354918578,0.2975897761182983
GUNACCESS_W26,socioeco,high,"$100,000 or more",declared,,1.0367821346320074,0.42477896701497597
GUNACTIVITYA_W26,gender,male,Male,declared,,1.112106157240146,0.5177630874368533
GUNACTIVITYA_W26,gender,female,Female,declared,,1.6533460691022897,0.6122586845158425
GUNACTIVITYA_W26,age,adult,30-49,declared,,0.9800122769808611,0.3704421880105586
GUNACTIVITYA_W26,age,older_adult,65+,declared,,1.3901750959070691,0.4810869092506097
GUNACTIVITYA_W26,education,some schooling,Less than high school,declared,,0.2529315744534022,0.1576694796558925
GUNACTIVITYA_W26,education,high school,High school graduate,declared,,1.4322308860821398,0.5591816893949846
GUNACTIVITYA_W26,education,college and more,College graduate/some postgrad,declared,,2.1674913174153385,0.8112405471213
GUNACTIVITYA_W26,socioeco,low,"Less than $30,000",declared,,0.7821004428937113,0.33203034515484153
GUNACTIVITYA_W26,socioeco,mid,"$50,000-$75,000",declared,,1.3751656283498122,0.5308100360030529
GUNACTIVITYA_W26,socioeco,high,"$100,000 or more",declared,,1.4049597428103908,0.5479298291795598
