analysis,attribute,channel,magnitude,class_a,class_b,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,wasserstein_max,total_variation_mean,total_variation_median,total_variation_std,total_variation_max,class_label
pairwise_classes,gender,declared,,male,female,494,0.4058949705456141,0.2373274500397855,0.41132641508484336,2.0763692439351695,0.2098112940635163,0.16907980216381158,0.1525143798401875,0.7680745970765781,
pairwise_classes,gender,steered,0.0,male,female,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,gender,steered,1.0,male,female,494,0.3049659933327421,0.2258390160799335,0.26568601841843326,1.5171344103426878,0.16551788793926694,0.15480921531113867,0.11240503062440024,0.5687919413758389,
pairwise_classes,gender,steered,3.0,male,female,494,0.6721443968230393,0.5718002173174163,0.5297414236578681,2.6376165285938606,0.345133586925029,0.34118087953645304,0.19165216652781739,0.9091486329481816,
pairwise_classes,gender,steered,5.0,male,female,494,0.8410787512780111,0.7315925381874333,0.6482733022011502,2.541275423332581,0.4196414844043789,0.4392188300373425,0.21622622873809605,0.914446859646502,
pairwise_classes,gender,steered,7.0,male,female,494,0.8581429266806104,0.6632202388429097,0.6303337523074991,2.5326532014762386,0.45258234564961886,0.45631145134830176,0.19650274645596558,0.8828792405331982,
pairwise_classes,gender,steered,9.0,male,female,494,0.7109582229622265,0.5730947540020442,0.5106133977218161,2.5689090285958973,0.43880567380924496,0.43260115665365934,0.15760273655497103,0.8489234065677335,
pairwise_classes,gender,steered,13.0,male,female,494,0.5020824919818819,0.44239402244419834,0.27462877917546064,1.9400180348229994,0.40857035782026374,0.37902661130997684,0.13686582771457662,0.73297802368681,
pairwise_classes,age,declared,,child,adolescent,494,0.2955908683149376,0.19196760622409378,0.28052789146660045,2.1347933108576806,0.17238218712292422,0.1487852022005356,0.12402634523596767,0.7854818912126964,
pairwise_classes,age,declared,,child,adult,494,0.5248077178250581,0.44013885025070565,0.41019175463742336,2.165445672118348,0.29805341716751804,0.29336626975091296,0.16737289550430837,0.8105912882574029,
pairwise_classes,age,declared,,child,older_adult,494,0.5623384170365051,0.5007604585548286,0.4035546668040703,2.0136509941666727,0.33461228206965904,0.33614465850387953,0.18443693838595984,0.7855546604553805,
pairwise_classes,age,declared,,adolescent,adult,494,0.38036367008227356,0.2910952275491788,0.33602280091945164,1.7700445943172298,0.22734197508910037,0.21306311638500133,0.1395812303453194,0.6624516462682827,
pairwise_classes,age,declared,,adolescent,older_adult,494,0.4717497498216974,0.3960206355409131,0.364230081725042,1.8156448421509919,0.2796506811984846,0.2680271288567559,0.16626250528893402,0.7531528241119096,
pairwise_classes,age,declared,,adult,older_adult,494,0.3623474661862512,0.30960510681211767,0.2706200887503426,1.4725179163717566,0.24216638757143086,0.2379467613683542,0.13805972534021957,0.67760276,
pairwise_classes,age,steered,0.0,child,adolescent,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,0.0,child,adult,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,0.0,child,older_adult,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,0.0,adolescent,adult,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,0.0,adolescent,older_adult,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,0.0,adult,older_adult,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,age,steered,1.0,child,adolescent,494,0.10963680576689816,0.08000513461449171,0.10122705552118216,0.7980523191375798,0.06843770981668738,0.05840407530580789,0.046130321149288514,0.28490168794789333,
pairwise_classes,age,steered,1.0,child,adult,494,0.11885376186645676,0.08293432695321201,0.10589669317059933,0.4873619637327684,0.06767376765624313,0.06078916201720497,0.04670171859525932,0.2244452436380846,
pairwise_classes,age,steered,1.0,child,older_adult,494,0.09789853061484749,0.07570318027169307,0.09301297249392147,0.6239821472597893,0.061005548737140425,0.04944345168996457,0.047125704368401904,0.24432376775810624,
pairwise_classes,age,steered,1.0,adolescent,adult,494,0.15875913356572158,0.12353392228338447,0.12892411776183726,0.6063531353532332,0.09360255624113509,0.08320206665449054,0.06096887140097208,0.2981353707798322,
pairwise_classes,age,steered,1.0,adolescent,older_adult,494,0.1354361483482468,0.10212000471284169,0.12158217737164803,0.8611697355532113,0.09195679119577178,0.07950281177241353,0.06493050790522896,0.3479962188387159,
pairwise_classes,age,steered,1.0,adult,older_adult,494,0.13464435074235445,0.08754985719041236,0.12986009148032862,0.6577986640407701,0.07136381160822416,0.06248033904136785,0.049467505350584765,0.25293905838729636,
pairwise_classes,age,steered,3.0,child,adolescent,494,0.2884263556993547,0.22115888550284932,0.2529750169807459,1.464178337578974,0.16704387739156035,0.1462539493348565,0.0992252049742543,0.5613139033209142,
pairwise_classes,age,steered,3.0,child,adult,494,0.31446804393420175,0.22826337410962982,0.27174521145268055,1.1959256481151535,0.18293172803813168,0.16322632830058742,0.11980480598706976,0.5241140641033477,
pairwise_classes,age,steered,3.0,child,older_adult,494,0.2946210296904836,0.22420918979694482,0.26149220057757744,1.3819421930092586,0.19621354528796864,0.16174386689525788,0.14401224066673013,0.7577025062981256,
pairwise_classes,age,steered,3.0,adolescent,adult,494,0.3616302108932093,0.3039566454974717,0.279999908599366,1.5008755161534495,0.21953424173767155,0.2004437471779816,0.13140607356082354,0.654873569646207,
pairwise_classes,age,steered,3.0,adolescent,older_adult,494,0.37073658526275405,0.29331800053385054,0.307682616545518,1.9582035245537832,0.25589038806301123,0.21679305512708086,0.16736075121337232,0.866648174932087,
pairwise_classes,age,steered,3.0,adult,older_adult,494,0.3447397999111761,0.2642155003615594,0.30673818294453536,1.5686117964911708,0.20317250171541873,0.1864379201042805,0.12816701820771703,0.6025203892786688,
pairwise_classes,age,steered,5.0,child,adolescent,494,0.3880679710516063,0.27873128335475117,0.334303950622323,1.4841770620494512,0.21405192734645087,0.20080947120813117,0.11814620862036247,0.5419346904192304,
pairwise_classes,age,steered,5.0,child,adult,494,0.4175525604019852,0.29966629932005084,0.35138237146071877,1.5022894842279422,0.2558296522794951,0.22892516862098203,0.16044672516465755,0.7383229597882227,
pairwise_classes,age,steered,5.0,child,older_adult,494,0.46249395794659964,0.3675408735483199,0.3640255097755374,1.6836189910171395,0.3317664095871439,0.29334609801896416,0.20752605291898193,0.9045119402356141,
pairwise_classes,age,steered,5.0,adolescent,adult,494,0.3896384335209731,0.30966631270997724,0.2991112119574927,1.8177985388758888,0.25900896320064154,0.2345769207153804,0.15226918520636995,0.801807852986245,
pairwise_classes,age,steered,5.0,adolescent,older_adult,494,0.5246313813993944,0.45721526835710324,0.38852260552108947,2.1253729354314657,0.3845389007225953,0.3500116080105119,0.2204429214089464,0.9822912496954059,
pairwise_classes,age,steered,5.0,adult,older_adult,494,0.46736246110167806,0.3911769107922866,0.3786186809639823,1.906153618411091,0.30853310187302546,0.29384477448006363,0.17691664922664777,0.7787742082104104,
pairwise_classes,age,steered,7.0,child,adolescent,494,0.48791913506668794,0.3230299243219977,0.45365833795128335,2.03736526888457,0.2546072345373246,0.22203395136068316,0.15121999196424535,0.7228673129201112,
pairwise_classes,age,steered,7.0,child,adult,494,0.48040591976049024,0.3620140520516749,0.3835898033189103,2.014332208322563,0.31162967829718113,0.28455279156658086,0.17630526769079588,0.7878205136409845,
pairwise_classes,age,steered,7.0,child,older_adult,494,0.5923931057015932,0.5128193969761363,0.4011056139412421,1.7764514011774302,0.45508245331540165,0.4210543989132454,0.2272375430896061,0.9392504893925049,
pairwise_classes,age,steered,7.0,adolescent,adult,494,0.33501740835007265,0.24811573844567397,0.2908819158493973,2.669746706272114,0.25048431256307274,0.20692645042422844,0.16258119936028623,0.826960167222587,
pairwise_classes,age,steered,7.0,adolescent,older_adult,494,0.6211055747256936,0.5716689779801867,0.43059545490044493,3.0544370398484646,0.4876314637327688,0.4601444782059684,0.2304359311957478,0.9798428807061272,
pairwise_classes,age,steered,7.0,adult,older_adult,494,0.501102250482358,0.44345302789608776,0.3802356764217424,2.015373988077335,0.3671945633189519,0.34582927871419955,0.19265799361748434,0.8681291227891207,
pairwise_classes,age,steered,9.0,child,adolescent,494,0.6071381610661354,0.4642638797824217,0.5090063467349274,2.4461708544615286,0.31214533616862333,0.26586674174082825,0.17554808943187106,0.8415839745524234,
pairwise_classes,age,steered,9.0,child,adult,494,0.5161409679498138,0.40497675282144263,0.3869437913119725,2.2981746846450615,0.3537304550471358,0.3302736718713851,0.17517598428879835,0.870767729775302,
pairwise_classes,age,steered,9.0,child,older_adult,494,0.6825625321609399,0.6641170954423007,0.39493297110690573,1.7963331545673151,0.5559784511228808,0.5451356093990231,0.21645233645647097,0.9577380986284484,
pairwise_classes,age,steered,9.0,adolescent,adult,494,0.3545865717026454,0.2701811191807246,0.3021068118235331,2.5095033329717955,0.2694872126505823,0.2305665048972792,0.1704200208258359,0.7639631006691221,
pairwise_classes,age,steered,9.0,adolescent,older_adult,494,0.6703163985320741,0.6534771718395502,0.4121213163666919,3.1023945444372476,0.555161618601685,0.5518029346719002,0.22318664222249074,0.9529622303895509,
pairwise_classes,age,steered,9.0,adult,older_adult,494,0.48807782148375795,0.4450006109718885,0.3343744546751128,1.7956756268235168,0.3899063121100573,0.3701416195366078,0.18813244685124017,0.8978402684503164,
pairwise_classes,age,steered,13.0,child,adolescent,494,0.737362749748815,0.6644068568036241,0.518595595313847,2.4238346134718958,0.3947023459557881,0.39609121146218595,0.1793556780343951,0.849993464885038,
pairwise_classes,age,steered,13.0,child,adult,494,0.5042825554410982,0.450342482903628,0.30715621454925074,2.0186005775541047,0.38522379711550286,0.39082673981383476,0.13839260099211628,0.8230845133665701,
pairwise_classes,age,steered,13.0,child,older_adult,494,0.7301568445904416,0.7314908925733247,0.35665469350215134,1.7587305583727963,0.6452784431222416,0.6540717570557752,0.1752609314438838,0.960317732380936,
pairwise_classes,age,steered,13.0,adolescent,adult,494,0.4659829667772283,0.42325809193662095,0.3354079979695266,1.94628251197688,0.32996679857206396,0.33006280578326164,0.18393431678226596,0.8148790970110067,
pairwise_classes,age,steered,13.0,adolescent,older_adult,494,0.7173192736759045,0.7510454554748409,0.4213747029839244,3.1459422906565586,0.5925214746479002,0.6883725737975523,0.22869671611901163,0.9158683409000128,
pairwise_classes,age,steered,13.0,adult,older_adult,494,0.4686813909783027,0.448347544907646,0.2679749274017679,1.5898208567022467,0.4040452364053828,0.38498904811647366,0.16354398856557734,0.8806891186941825,
pairwise_classes,education,declared,,some schooling,high school,494,0.6159963732160221,0.4478783921196759,0.5541756662863059,2.1802705183550373,0.31465493392866667,0.3023987946119958,0.21302034375203818,0.8367410386127261,
pairwise_classes,education,declared,,some schooling,college and more,494,0.8708325787021306,0.7927223095896871,0.6785417298016582,2.4488119917828235,0.42222706292394807,0.4419725550939301,0.244676153492261,0.8737794048331766,
pairwise_classes,education,declared,,high school,college and more,494,0.31611757743194374,0.20504880210473048,0.31160970698261414,1.4605240690087347,0.17633875968668425,0.14480521013498762,0.13558016696677486,0.6717232204714855,
pairwise_classes,education,steered,0.0,some schooling,high school,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,education,steered,0.0,some schooling,college and more,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,education,steered,0.0,high school,college and more,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pairwise_classes,education,steered,1.0,some schooling,high school,494,0.09821041356688781,0.06895940522041344,0.09533703883789271,0.7071847951867569,0.06604437802739571,0.050872659111994595,0.05480713139922238,0.33648307336483074,
pairwise_classes,education,steered,1.0,some schooling,college and more,494,0.16776481107698402,0.12947018750057182,0.15031476452696627,0.7100278285789671,0.09024826965404442,0.08351545998349398,0.05959564587508008,0.33745268355730984,
pairwise_classes,education,steered,1.0,high school,college and more,494,0.16961694338362085,0.13885462053159894,0.13830688861134016,0.7117277686481672,0.09263741479473471,0.08562686049628401,0.059840154500767545,0.36040226918793195,
pairwise_classes,education,steered,3.0,some schooling,high school,494,0.2785593402799024,0.20709247487846275,0.23421831277666114,1.4145580685201073,0.1830867419094932,0.14847390359912377,0.1305776240746779,0.629871033861912,
