qkey,attribute,class_idx,class_label,magnitude,wasserstein,total_variation
CARRYGUN_W26,gender,0,male,0.0,0.07130252096203363,0.04540724901543843
CARRYGUN_W26,gender,0,male,1.0,0.20157764463071579,0.09024076825118746
CARRYGUN_W26,gender,0,male,3.0,0.701010520363613,0.2691864635382694
CARRYGUN_W26,gender,0,male,5.0,1.3849226999999997,0.50165699
CARRYGUN_W26,gender,0,male,7.0,1.6381405313254342,0.5809103419906925
CARRYGUN_W26,gender,0,male,9.0,1.3644475699999998,0.52533472
CARRYGUN_W26,gender,0,male,13.0,0.7169470379080871,0.3079254205119508
CARRYGUN_W26,gender,1,female,0.0,0.22657606310592796,0.16953529287349994
CARRYGUN_W26,gender,1,female,1.0,0.1767817953809954,0.15275469743804115
CARRYGUN_W26,gender,1,female,3.0,0.27513750063706277,0.19778239225533445
CARRYGUN_W26,gender,1,female,5.0,0.387296407912859,0.24235468801681018
CARRYGUN_W26,gender,1,female,7.0,0.33458628518537475,0.2342133598986456
CARRYGUN_W26,gender,1,female,9.0,0.18324563846160669,0.18324563846160674
CARRYGUN_W26,gender,1,female,13.0,0.6427945978562193,0.3633369490586771
CARRYGUN_W26,age,0,child,0.0,0.15704564314091285,0.06664865133297301
CARRYGUN_W26,age,0,child,1.0,0.177548531812445,0.0737075640754594
CARRYGUN_W26,age,0,child,3.0,0.24612616455555025,0.09518919493472468
CARRYGUN_W26,age,0,child,5.0,0.33231618664632373,0.12326777246535545
CARRYGUN_W26,age,0,child,7.0,0.40351248611836615,0.1489997827121145
CARRYGUN_W26,age,0,child,9.0,0.4207280381021575,0.15791084958627774
CARRYGUN_W26,age,0,child,13.0,0.4988412912275077,0.20940785657120045
CARRYGUN_W26,age,1,adolescent,0.0,0.09822993902118986,0.053670470380049115
CARRYGUN_W26,age,1,adolescent,1.0,0.09387680446283496,0.05094759513693635
CARRYGUN_W26,age,1,adolescent,3.0,0.1447735731254964,0.060094014391421154
CARRYGUN_W26,age,1,adolescent,5.0,0.24924855747745667,0.1504252645127579
CARRYGUN_W26,age,1,adolescent,7.0,0.17617110528513313,0.1343060540291816
CARRYGUN_W26,age,1,adolescent,9.0,0.04653820227688451,0.03837815264384275
CARRYGUN_W26,age,1,adolescent,13.0,0.14523339286592685,0.08121947169209048
CARRYGUN_W26,age,2,adult,0.0,0.2507751314489622,0.14929884620131112
CARRYGUN_W26,age,2,adult,1.0,0.3259995797799873,0.17503279525098386
CARRYGUN_W26,age,2,adult,3.0,0.4002234360438563,0.20314377266886374
CARRYGUN_W26,age,2,adult,5.0,0.41710346608765353,0.2096340130029848
CARRYGUN_W26,age,2,adult,7.0,0.42456461836131165,0.2085123239949478
CARRYGUN_W26,age,2,adult,9.0,0.4099938646333368,0.20607081697962598
CARRYGUN_W26,age,2,adult,13.0,0.13988068916176796,0.11783759185529394
CARRYGUN_W26,age,3,older_adult,0.0,0.5805677024171982,0.2966578918663839
CARRYGUN_W26,age,3,older_adult,1.0,0.5117623479511858,0.26628692746740756
CARRYGUN_W26,age,3,older_adult,3.0,0.22135531267945405,0.1558014621769926
CARRYGUN_W26,age,3,older_adult,5.0,0.30677130733859825,0.13695905992439028
CARRYGUN_W26,age,3,older_adult,7.0,0.5128884843121955,0.3166624582555724
CARRYGUN_W26,age,3,older_adult,9.0,0.48577149497587235,0.47981231108115885
CARRYGUN_W26,age,3,older_adult,13.0,0.5238411745313398,0.5221964991372758
CARRYGUN_W26,education,0,some schooling,0.0,0.10875145399452225,0.10522987750863826
CARRYGUN_W26,education,0,some schooling,1.0,0.1372481530324886,0.11435706900673445
CARRYGUN_W26,education,0,some schooling,3.0,0.23359904972858453,0.13152779735478237
CARRYGUN_W26,education,0,some schooling,5.0,0.773382605092912,0.3171817284573648
CARRYGUN_W26,education,0,some schooling,7.0,1.2936910147726184,0.49083643016774314
CARRYGUN_W26,education,0,some schooling,9.0,1.3426951371347569,0.4906250645312532
CARRYGUN_W26,education,0,some schooling,13.0,0.8927810767464905,0.34517931937911184
CARRYGUN_W26,education,1,high school,0.0,0.08277129643938844,0.04337049723828947
CARRYGUN_W26,education,1,high school,1.0,0.08911331257710037,0.04445230601904265
CARRYGUN_W26,education,1,high school,3.0,0.09670409858797185,0.04984095477815967
CARRYGUN_W26,education,1,high school,5.0,0.21831512915026507,0.09383742824762809
CARRYGUN_W26,education,1,high school,7.0,0.5916101466161654,0.2680924488782553
CARRYGUN_W26,education,1,high school,9.0,1.0327150714622415,0.45373322900288926
CARRYGUN_W26,education,1,high school,13.0,1.6367101959134587,0.6352215703461372
CARRYGUN_W26,education,2,college and more,0.0,0.6509043386705702,0.2547870323935801
CARRYGUN_W26,education,2,college and more,1.0,0.7123814799001129,0.2710505727188509
CARRYGUN_W26,education,2,college and more,3.0,0.7382520595742177,0.27769422983131165
CARRYGUN_W26,education,2,college and more,5.0,0.629586997216395,0.25998938828939133
CARRYGUN_W26,education,2,college and more,7.0,0.4044060137406036,0.2580254661233786
CARRYGUN_W26,education,2,college and more,9.0,0.3662403655699582,0.3467497067620236
CARRYGUN_W26,education,2,college and more,13.0,0.7441073587450078,0.5412602538156018
CARRYGUN_W26,socioeco,0,low,0.0,0.1522881291380848,0.15228812913808487
CARRYGUN_W26,socioeco,0,low,1.0,0.1397542700238267,0.13975427002382682
CARRYGUN_W26,socioeco,0,low,3.0,0.1422471344769193,0.13195341827308055
CARRYGUN_W26,socioeco,0,low,5.0,0.14540880501049389,0.13969076771550157
CARRYGUN_W26,socioeco,0,low,7.0,0.17136302442026477,0.17136302442026485
CARRYGUN_W26,socioeco,0,low,9.0,0.24687930518724166,0.20505884769646915
CARRYGUN_W26,socioeco,0,low,13.0,0.20706234252768918,0.17858402709255639
CARRYGUN_W26,socioeco,1,mid,0.0,0.1030313671169556,0.09852503867272007
CARRYGUN_W26,socioeco,1,mid,1.0,0.08671755647280065,0.08469603902671084
CARRYGUN_W26,socioeco,1,mid,3.0,0.060849025681374805,0.05597246699973385
CARRYGUN_W26,socioeco,1,mid,5.0,0.07512489199865884,0.04095195842408829
CARRYGUN_W26,socioeco,1,mid,7.0,0.30671418986512994,0.20484535080275887
CARRYGUN_W26,socioeco,1,mid,9.0,0.5849813160561103,0.37311178035489234
CARRYGUN_W26,socioeco,1,mid,13.0,0.9236690950492764,0.5227085220973418
CARRYGUN_W26,socioeco,2,high,0.0,0.13771786544284287,0.11502611799845028
CARRYGUN_W26,socioeco,2,high,1.0,0.15501359990299018,0.12746748386898765
CARRYGUN_W26,socioeco,2,high,3.0,0.20118137452167634,0.11237595390779229
CARRYGUN_W26,socioeco,2,high,5.0,0.30489695345847456,0.15276998004595724
CARRYGUN_W26,socioeco,2,high,7.0,0.3167509394115691,0.15546094475323521
CARRYGUN_W26,socioeco,2,high,9.0,0.38927141082835715,0.2176955124950949
CARRYGUN_W26,socioeco,2,high,13.0,0.6504259274993978,0.41238577386967623
GROWUPGUN2A_W26,gender,0,male,0.0,0.09919552545707189,0.09919552545707189
GROWUPGUN2A_W26,gender,0,male,1.0,0.11163678496241225,0.11163678496241228
GROWUPGUN2A_W26,gender,0,male,3.0,0.17075185760376177,0.17075185760376183
GROWUPGUN2A_W26,gender,0,male,5.0,0.20648964819836768,0.2064896481983677
GROWUPGUN2A_W26,gender,0,male,7.0,0.18942778402690907,0.18942778402690907
