qkey,attribute,configuration,declared_class,steer_class,magnitude,dist_to_real_declared,dist_to_real_steered,follows
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,1.0,0.015866619999999942,0.04232469999999999,declared
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,3.0,0.0011377571544621823,0.027595837154462233,declared
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,5.0,0.17811532000000002,0.15165723999999997,steered
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,7.0,0.30405272000000005,0.27759464,steered
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,9.0,0.35639514000000005,0.32993706,steered
GROWUPGUN2A_W26,gender,declare_male__steer_female,male,female,13.0,0.3792869076118363,0.35282882761183626,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,1.0,0.08397228026852444,0.057514200268524385,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,3.0,0.0984441585946384,0.07198607859463835,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,5.0,0.13283538653116478,0.10637730653116473,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,7.0,0.12516850150441106,0.098710421504411,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,9.0,0.11596156877179697,0.08950348877179692,steered
GROWUPGUN2A_W26,gender,declare_female__steer_male,female,male,13.0,0.13185967829485368,0.10540159829485363,steered
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,1.0,0.09940433000000004,0.2519916,declared
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,3.0,0.2209822773264476,0.13041365267355243,steered
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,5.0,0.33812737000000004,0.013268559999999985,steered
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,7.0,0.38503909000000003,0.033643160000000005,steered
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,9.0,0.3118717409365399,0.03952418906346011,steered
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,adult,older_adult,13.0,0.10855603000000003,0.45995196000000005,declared
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,1.0,0.6279862171808015,0.2765902871808015,steered
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,3.0,0.5723088458934394,0.22091291589343942,steered
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,5.0,0.42625624746149837,0.07486031746149835,steered
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,7.0,0.20228938581949585,0.14910654418050417,steered
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,9.0,0.052972621339992865,0.29842330866000716,declared
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,older_adult,adult,13.0,0.03907183000000003,0.3123241,declared
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,1.0,0.3282468116046404,0.17737294160464046,steered
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,3.0,0.5043932042134991,0.3535193342134991,steered
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,5.0,0.5750702855999149,0.42419641559991494,steered
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,7.0,0.5806335107547719,0.4297596407547719,steered
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,9.0,0.5594771753322705,0.40860330533227046,steered
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,some schooling,college and more,13.0,0.5062445762647074,0.3553707062647075,steered
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,1.0,0.2503015618550415,0.09942769185504152,steered
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,3.0,0.26571167319623856,0.1148378031962386,steered
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,5.0,0.2154632788136972,0.06458940881369724,steered
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,7.0,0.11837942952278846,0.032494440477211506,steered
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,9.0,0.03590424415129867,0.18677811415129864,declared
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,college and more,some schooling,13.0,0.24350595962064991,0.3943798296206499,declared
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,1.0,0.06244950765603363,0.03524440234396642,steered
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,3.0,0.14585719000000008,0.04816328000000003,steered
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,5.0,0.15684308482422632,0.05914917482422627,steered
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,7.0,0.07682794444936103,0.02086596555063902,steered
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,9.0,0.03622636000000001,0.13392027000000006,declared
GROWUPGUN2A_W26,socioeco,declare_low__steer_high,low,high,13.0,0.182340641666754,0.28003455166675406,declared
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,1.0,0.16074016000000002,0.06304624999999997,steered
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,3.0,0.06985753738885536,0.02783637261114469,steered
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,5.0,0.017705780000000004,0.11539969000000005,declared
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,7.0,0.03401251115665238,0.13170642115665243,declared
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,9.0,0.02229794000000007,0.07539596999999998,declared
GROWUPGUN2A_W26,socioeco,declare_high__steer_low,high,low,13.0,0.17642235810862772,0.07872844810862767,steered
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,1.0,0.1929133052421681,0.26274686524216817,declared
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,3.0,0.033398314138498586,0.10323187413849866,declared
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,5.0,0.053554379460668544,0.016279180539331528,steered
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,7.0,0.17590058000000008,0.10606702000000001,steered
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,9.0,0.2835464074390924,0.2137128474390923,steered
GROWUPGUN2B_W26,gender,declare_male__steer_female,male,female,13.0,0.36066083024747503,0.29082727024747496,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,1.0,0.26033990000000007,0.19050634,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,3.0,0.3180931724748528,0.24825961247485273,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,5.0,0.3345042513234392,0.2646706913234391,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,7.0,0.30457075189058436,0.23473719189058428,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,9.0,0.20091483166675406,0.13108127166675398,steered
GROWUPGUN2B_W26,gender,declare_female__steer_male,female,male,13.0,0.07195376773818773,0.0021202077381876627,steered
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,1.0,0.11018297896087637,0.13731045103912354,declared
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,3.0,0.06597734971295466,0.18151608028704525,declared
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,5.0,0.04051377651822097,0.28800720651822087,declared
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,7.0,0.13592253365595824,0.38341596365595815,declared
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,9.0,0.08526201517577381,0.3327554451757737,declared
GROWUPGUN2B_W26,age,declare_adult__steer_older_adult,adult,older_adult,13.0,0.17865209999999998,0.06884132999999992,steered
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,1.0,0.10638014834984155,0.35387357834984146,declared
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,3.0,0.024084468238057655,0.27157789823805756,declared
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,5.0,0.2102071499999999,0.037286280000000005,steered
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,7.0,0.4629080987288058,0.21541466872880588,steered
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,9.0,0.5366353509406234,0.28914192094062346,steered
GROWUPGUN2B_W26,age,declare_older_adult__steer_adult,older_adult,adult,13.0,0.49295732036971746,0.24546389036971755,steered
