qkey,attribute,class_idx,class_label,magnitude,wasserstein,total_variation
CARRYGUN_W26,gender,0,male,1.0,0.14435759677929927,0.05752411425772165
CARRYGUN_W26,gender,0,male,3.0,0.6437904725121966,0.2373225206508795
CARRYGUN_W26,gender,0,male,5.0,1.3277026521485833,0.48036535655530854
CARRYGUN_W26,gender,0,male,7.0,1.5809204834740178,0.5879515785460009
CARRYGUN_W26,gender,0,male,9.0,1.3072275221485836,0.5323759565553086
CARRYGUN_W26,gender,0,male,13.0,0.6597269900566707,0.31496665706725935
CARRYGUN_W26,gender,1,female,1.0,0.04979426772493256,0.020814476871962397
CARRYGUN_W26,gender,1,female,3.0,0.0485614375311348,0.03717505939290601
CARRYGUN_W26,gender,1,female,5.0,0.16072034480693104,0.07889122624499184
CARRYGUN_W26,gender,1,female,7.0,0.10801022207944679,0.06467806702514564
CARRYGUN_W26,gender,1,female,9.0,0.13931260151091499,0.07651147354951086
CARRYGUN_W26,gender,1,female,13.0,0.8693706609621472,0.407244330297988
CARRYGUN_W26,age,0,child,1.0,0.020502888671532174,0.007806282258846567
CARRYGUN_W26,age,0,child,3.0,0.08908052141463743,0.03224586473452612
CARRYGUN_W26,age,0,child,5.0,0.1752705435054109,0.06320966126419325
CARRYGUN_W26,age,0,child,7.0,0.24646684297745333,0.08904020871706513
CARRYGUN_W26,age,0,child,9.0,0.2636823949612447,0.10455255039466478
CARRYGUN_W26,age,0,child,13.0,0.34179564808659485,0.17297738584259104
CARRYGUN_W26,age,1,adolescent,1.0,0.010924608731409269,0.008201733488296501
CARRYGUN_W26,age,1,adolescent,3.0,0.062444989059588576,0.05602144504821666
CARRYGUN_W26,age,1,adolescent,5.0,0.18860777763734635,0.1649235356967542
CARRYGUN_W26,age,1,adolescent,7.0,0.18207832498133295,0.17027290585723534
CARRYGUN_W26,age,1,adolescent,9.0,0.1407472177784721,0.07663085111863874
CARRYGUN_W26,age,1,adolescent,13.0,0.2434633318871167,0.08567743096696738
CARRYGUN_W26,age,2,adult,1.0,0.07522444833102514,0.025733949049672737
CARRYGUN_W26,age,2,adult,3.0,0.1494483045948941,0.0538449264675526
CARRYGUN_W26,age,2,adult,5.0,0.16632833463869134,0.06312286543420614
CARRYGUN_W26,age,2,adult,7.0,0.1737894869123495,0.06888202904736614
CARRYGUN_W26,age,2,adult,9.0,0.15921873318437463,0.0694013313880266
CARRYGUN_W26,age,2,adult,13.0,0.21807176268109654,0.17333730843158862
CARRYGUN_W26,age,3,older_adult,1.0,0.06880535446601252,0.03037096439897636
CARRYGUN_W26,age,3,older_adult,3.0,0.3592123897377443,0.16071270320267236
CARRYGUN_W26,age,3,older_adult,5.0,0.8873390097557965,0.4218754690265052
CARRYGUN_W26,age,3,older_adult,7.0,1.093456186729394,0.6133203501219562
CARRYGUN_W26,age,3,older_adult,9.0,0.9762420569010988,0.7314216327015568
CARRYGUN_W26,age,3,older_adult,13.0,1.074725216821544,0.8056572363342267
CARRYGUN_W26,education,0,some schooling,1.0,0.05227195214858349,0.02101481805340481
CARRYGUN_W26,education,0,some schooling,3.0,0.24645653214858346,0.08713260753987019
CARRYGUN_W26,education,0,some schooling,5.0,0.786240087512911,0.2727563191559872
CARRYGUN_W26,education,0,some schooling,7.0,1.3065484971926173,0.44641102086636564
CARRYGUN_W26,education,0,some schooling,9.0,1.3555526195547558,0.46251735681606265
CARRYGUN_W26,education,0,some schooling,13.0,0.9056385591664897,0.3512101713208611
CARRYGUN_W26,education,1,high school,1.0,0.009022378111110757,0.007940569330357585
CARRYGUN_W26,education,1,high school,3.0,0.02261182604177389,0.01614136850190382
CARRYGUN_W26,education,1,high school,5.0,0.13554383271087667,0.07550484151009683
CARRYGUN_W26,education,1,high school,7.0,0.508838850176777,0.26481295529625914
CARRYGUN_W26,education,1,high school,9.0,0.9499437750228532,0.45045373542089306
CARRYGUN_W26,education,1,high school,13.0,1.55393889947407,0.631942076764141
CARRYGUN_W26,education,2,college and more,1.0,0.06147714122954277,0.02500580050011599
CARRYGUN_W26,education,2,college and more,3.0,0.08734772090364759,0.056372282356170055
CARRYGUN_W26,education,2,college and more,5.0,0.15521302838555737,0.14117112769810686
CARRYGUN_W26,education,2,college and more,7.0,0.3764661675293234,0.2728169254563385
CARRYGUN_W26,education,2,college and more,9.0,0.6310616145931279,0.4084951943319035
CARRYGUN_W26,education,2,college and more,13.0,1.0089286077681774,0.6030057413854817
CARRYGUN_W26,socioeco,0,low,1.0,0.034549620792561075,0.01802504704232754
CARRYGUN_W26,socioeco,0,low,3.0,0.11433660214858346,0.05612124655530856
CARRYGUN_W26,socioeco,0,low,5.0,0.12511251732541687,0.059928368876938004
CARRYGUN_W26,socioeco,0,low,7.0,0.035294450034119185,0.027184672658149604
CARRYGUN_W26,socioeco,0,low,9.0,0.09853463549358811,0.05277071855838427
CARRYGUN_W26,socioeco,0,low,13.0,0.06690931708873626,0.035390618732102745
CARRYGUN_W26,socioeco,1,mid,1.0,0.018268148203568466,0.01729097942386172
CARRYGUN_W26,socioeco,1,mid,3.0,0.06888559523206962,0.05553396833382524
CARRYGUN_W26,socioeco,1,mid,5.0,0.16495875789827086,0.1345699280281669
CARRYGUN_W26,socioeco,1,mid,7.0,0.39654805576474195,0.3012779673110427
CARRYGUN_W26,socioeco,1,mid,9.0,0.6658025250672511,0.4650380684189407
CARRYGUN_W26,socioeco,1,mid,13.0,1.0044903040604172,0.6146348101613901
CARRYGUN_W26,socioeco,2,high,1.0,0.017295734460147302,0.012441365870537378
CARRYGUN_W26,socioeco,2,high,3.0,0.1996150854453157,0.07452873531804073
CARRYGUN_W26,socioeco,2,high,5.0,0.33364160667283216,0.15257305305146107
CARRYGUN_W26,socioeco,2,high,7.0,0.34549559262592666,0.2032067615376552
CARRYGUN_W26,socioeco,2,high,9.0,0.4517188895454721,0.31777818457507384
CARRYGUN_W26,socioeco,2,high,13.0,0.6791705807137554,0.49561703319827644
GROWUPGUN2A_W26,gender,0,male,1.0,0.012441259505340363,0.01244125950534039
GROWUPGUN2A_W26,gender,0,male,3.0,0.07155633214668988,0.07155633214668992
GROWUPGUN2A_W26,gender,0,male,5.0,0.1072941227412958,0.10729412274129582
GROWUPGUN2A_W26,gender,0,male,7.0,0.09023225856983719,0.0902322585698372
GROWUPGUN2A_W26,gender,0,male,9.0,0.06767159196399475,0.06767159196399475
GROWUPGUN2A_W26,gender,0,male,13.0,0.06556460950534038,0.06556460950534038
GROWUPGUN2A_W26,gender,1,female,1.0,0.0009519895624597874,0.0009519895624597596
GROWUPGUN2A_W26,gender,1,female,3.0,0.009018660270559753,0.00901866027055978
GROWUPGUN2A_W26,gender,1,female,5.0,0.0871923804946596,0.0871923804946596
GROWUPGUN2A_W26,gender,1,female,7.0,0.3051555591546668,0.3051555591546668
GROWUPGUN2A_W26,gender,1,female,9.0,0.43662197542532655,0.43662197542532644
GROWUPGUN2A_W26,gender,1,female,13.0,0.4824410304946597,0.4824410304946597
GROWUPGUN2A_W26,age,0,child,1.0,0.01259632863279092,0.01259632863279092
GROWUPGUN2A_W26,age,0,child,3.0,0.024097740722932248,0.02409774072293222
GROWUPGUN2A_W26,age,0,child,5.0,0.024097740722932248,0.02409774072293222
