qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
CARRYGUN_W26,gender,declared,,Declared,male,Male,1.0278146100000054,0.90735188907353,0.12046272092647536
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,Male,1.027815020000003,0.9073522990735274,0.12046272092647548
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,Male,1.0278149499999938,0.9073522290735183,0.12046272092647548
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,Male,1.0278148099999966,0.907352089073521,0.12046272092647559
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,Male,1.0278143100000086,0.9073515890735331,0.12046272092647548
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,Male,1.0278137399999432,0.9073510190734677,0.12046272092647548
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,Male,1.02781176,0.9073490390735246,0.12046272092647548
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,Male,1.0278094599997152,0.9073467390732396,0.12046272092647559
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,Male,1.027796860000915,0.9073341390744396,0.12046272092647548
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,Male,1.0277602700010977,0.9072975490746222,0.12046272092647548
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,Male,1.027623759988516,0.9071610390620405,0.12046272092647559
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,Male,1.0259383001126117,0.9054755791861361,0.12046272092647559
CARRYGUN_W26,gender,declared,,Declared,female,Female,0.9073510190734677,1.0278137399999432,-0.12046272092647548
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,Female,0.9073522990735274,1.027815020000003,-0.12046272092647548
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,Female,0.9073523390735226,1.0278150599999982,-0.12046272092647559
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,Female,0.9073523290735235,1.027815049999999,-0.12046272092647548
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,Female,0.9073523090735259,1.0278150300000015,-0.12046272092647559
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,Female,0.9073523290735235,1.027815049999999,-0.12046272092647548
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,Female,0.9073522590735299,1.0278149800000054,-0.12046272092647548
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,Female,0.9073521590735246,1.0278148800000002,-0.12046272092647559
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,Female,0.9073519890735291,1.0278147100000046,-0.12046272092647548
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,Female,0.9073516290734598,1.0278143499999353,-0.12046272092647548
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,Female,0.9073503490735036,1.0278130699999792,-0.12046272092647559
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,Female,0.9073463290729746,1.02780904999945,-0.12046272092647548
CARRYGUN_W26,age,declared,,Declared,adult,30-49,0.9009958400000373,0.8162972700000373,0.08469857000000003
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,30-49,0.9009969400000029,0.8162983700000028,0.08469857000000003
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,30-49,0.9009969500000014,0.8162983800000013,0.08469857000000003
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,30-49,0.9009968399999928,0.8162982699999928,0.08469857000000003
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,30-49,0.90099665,0.8162980799999999,0.08469857000000003
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,30-49,0.9009958500000739,0.8162972800000738,0.08469857000000003
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,30-49,0.9009921599998032,0.8162935899998032,0.08469857000000003
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,30-49,0.9009772100015896,0.8162786400015896,0.08469857000000003
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,30-49,0.9008640899920206,0.8161655199920206,0.08469857000000003
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,30-49,0.8992317698940815,0.8145331998940815,0.08469857000000003
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,30-49,0.8750237010389352,0.7903251310389352,0.08469857000000003
CARRYGUN_W26,age,steered,20.0,Steered N=20,adult,30-49,0.6511903750038659,0.5664918050038659,0.08469857000000003
CARRYGUN_W26,age,declared,,Declared,older_adult,65+,0.8162984399999965,0.9009970099999965,-0.08469857000000003
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),older_adult,65+,0.8162983700000028,0.9009969400000029,-0.08469857000000003
CARRYGUN_W26,age,steered,2.0,Steered N=2,older_adult,65+,0.816298340000005,0.900996910000005,-0.08469857000000003
CARRYGUN_W26,age,steered,4.0,Steered N=4,older_adult,65+,0.8162983500000032,0.9009969200000032,-0.08469857000000003
CARRYGUN_W26,age,steered,6.0,Steered N=6,older_adult,65+,0.8162982599999925,0.9009968299999925,-0.08469857000000003
CARRYGUN_W26,age,steered,8.0,Steered N=8,older_adult,65+,0.8162980899999832,0.9009966599999832,-0.08469857000000003
CARRYGUN_W26,age,steered,10.0,Steered N=10,older_adult,65+,0.816297809999993,0.9009963799999929,-0.08469856999999992
CARRYGUN_W26,age,steered,12.0,Steered N=12,older_adult,65+,0.8162969000000805,0.9009954700000805,-0.08469857000000003
CARRYGUN_W26,age,steered,14.0,Steered N=14,older_adult,65+,0.8162920899996149,0.9009906599996149,-0.08469857000000003
CARRYGUN_W26,age,steered,16.0,Steered N=16,older_adult,65+,0.81626091,0.90095948,-0.08469857000000003
CARRYGUN_W26,age,steered,18.0,Steered N=18,older_adult,65+,0.815996669969816,0.900695239969816,-0.08469857000000003
CARRYGUN_W26,age,steered,20.0,Steered N=20,older_adult,65+,0.8143552900971609,0.8990538600971609,-0.08469857000000003
CARRYGUN_W26,education,declared,,Declared,some schooling,Less than high school,1.5806083099998725,0.9293721049998724,0.651236205
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),some schooling,Less than high school,1.580609330000003,0.9293731250000028,0.6512362050000002
CARRYGUN_W26,education,steered,2.0,Steered N=2,some schooling,Less than high school,1.5806093400000014,0.9293731350000014,0.651236205
CARRYGUN_W26,education,steered,4.0,Steered N=4,some schooling,Less than high school,1.5806093400000014,0.9293731350000014,0.651236205
CARRYGUN_W26,education,steered,6.0,Steered N=6,some schooling,Less than high school,1.580609259999994,0.9293730549999937,0.6512362050000002
CARRYGUN_W26,education,steered,8.0,Steered N=8,some schooling,Less than high school,1.5806092300000003,0.9293730250000001,0.6512362050000002
CARRYGUN_W26,education,steered,10.0,Steered N=10,some schooling,Less than high school,1.5806090700000042,0.9293728650000039,0.6512362050000002
CARRYGUN_W26,education,steered,12.0,Steered N=12,some schooling,Less than high school,1.5806087299999927,0.9293725249999927,0.651236205
CARRYGUN_W26,education,steered,14.0,Steered N=14,some schooling,Less than high school,1.5806066499998874,0.9293704449998872,0.6512362050000002
CARRYGUN_W26,education,steered,16.0,Steered N=16,some schooling,Less than high school,1.5805919700003501,0.9293557650003499,0.6512362050000002
CARRYGUN_W26,education,steered,18.0,Steered N=18,some schooling,Less than high school,1.5805303400055393,0.9292941350055391,0.6512362050000001
CARRYGUN_W26,education,steered,20.0,Steered N=20,some schooling,Less than high school,1.5800316900000002,0.928795485,0.6512362050000002
CARRYGUN_W26,education,declared,,Declared,high school,High school graduate,0.9409893600000004,1.2491832900000006,-0.30819393000000017
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),high school,High school graduate,0.9409892400000028,1.249183170000003,-0.30819393000000006
CARRYGUN_W26,education,steered,2.0,Steered N=2,high school,High school graduate,0.9409892999999968,1.249183229999997,-0.30819393000000017
CARRYGUN_W26,education,steered,4.0,Steered N=4,high school,High school graduate,0.9409893300000025,1.2491832600000026,-0.30819393000000006
