attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
gender,Male,Female,inferred,,Inferred from name,All,484,968,0.14910505453674852,0.503099173553719,0.496900826446281,0.5092975206611571,0.503099173553719,0.503099173553719,0.5,0.0030991735537190257,-0.0030991735537190257,0.009297520661157077,0.20389805097451275
gender,Male,Female,inferred,,Inferred from name,Q1,121,242,0.02854997161870305,0.5041322314049587,0.5,0.512396694214876,0.5041322314049587,0.5041322314049587,0.5,0.004132231404958664,0.0,0.012396694214875992,0.3598200899550225
gender,Male,Female,inferred,,Inferred from name,Q2,121,242,0.07189303539381062,0.5082644628099173,0.5,0.5206611570247934,0.5082644628099173,0.5082644628099173,0.5,0.008264462809917328,0.0,0.02066115702479343,0.12593703148425786
gender,Male,Female,inferred,,Inferred from name,Q3,121,242,0.14510511370814194,0.48760330578512395,0.47107438016528924,0.5,0.48760330578512395,0.48760330578512395,0.5,-0.012396694214876047,-0.02892561983471076,0.0,1.0
gender,Male,Female,inferred,,Inferred from name,Q4,121,242,0.3508720974263385,0.512396694214876,0.5,0.5289256198347108,0.512396694214876,0.512396694214876,0.5,0.012396694214875992,0.0,0.02892561983471076,0.0544727636181909
