attribute,channel,magnitude,n,pearson,spearman,mean_delta
gender,declared,,484,0.24278595983215545,0.18193269995560038,0.030815959812956917
gender,steered,2.0,484,0.2045582403717242,0.33285606858810884,0.33521023930061955
age,declared,,482,0.45670619045120375,0.3689312184711789,-0.025192208657191177
age,steered,2.0,482,0.35561459237989695,0.3180070535293339,0.12950750579409948
education,declared,,486,0.18872817303303474,0.21709363914886187,0.11276096486940108
education,steered,2.0,486,0.43351421190441103,0.39503041925757615,0.17407805755296268
socioeco,declared,,486,0.5040273473348955,0.29607535518752937,0.21102028386050953
socioeco,steered,2.0,486,0.36935074901287407,0.3024639873049026,-0.012355046670774444
