attribute,best_magnitude,distance_at_best,selected_magnitude,distance_at_selected
age,2.0,0.39631439822691406,2.0,0.39631439822691406
education,2.0,0.43447983027197384,2.0,0.43447983027197384
gender,2.0,0.3916041791123828,2.0,0.3916041791123828
socioeco,2.0,0.34128296335041386,2.0,0.34128296335041386
