qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
CARRYGUN_W26,education,steered,6.0,Steered N=6,some schooling,Less than high school,0.5732469600000002,0.6851192349999999,-0.11187227499999974
CARRYGUN_W26,education,steered,8.0,Steered N=8,some schooling,Less than high school,0.5026350677910063,0.8513821396528785,-0.34874707186187215
CARRYGUN_W26,education,steered,10.0,Steered N=10,some schooling,Less than high school,0.4560204496295197,0.7054916859540517,-0.24947123632453194
CARRYGUN_W26,education,steered,12.0,Steered N=12,some schooling,Less than high school,0.45080617297658,0.5398234995488083,-0.08901732657222827
CARRYGUN_W26,education,steered,14.0,Steered N=14,some schooling,Less than high school,0.4036742700000001,0.441850185,-0.038175914999999894
CARRYGUN_W26,education,steered,16.0,Steered N=16,some schooling,Less than high school,0.3659003664412734,0.3913044001848579,-0.02540403374358452
CARRYGUN_W26,education,steered,18.0,Steered N=18,some schooling,Less than high school,0.3808364380136183,0.36592883310775015,0.014907604905868121
CARRYGUN_W26,education,steered,20.0,Steered N=20,some schooling,Less than high school,0.3986114854599395,0.3540277413031578,0.044583744156781735
CARRYGUN_W26,education,declared,,Declared,high school,High school graduate,0.6311898485879719,0.939383778587972,-0.30819393000000006
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),high school,High school graduate,0.5484185521485834,0.8566124821485835,-0.30819393000000017
CARRYGUN_W26,education,steered,2.0,Steered N=2,high school,High school graduate,0.5391291041116165,0.8473230341116167,-0.30819393000000017
CARRYGUN_W26,education,steered,4.0,Steered N=4,high school,High school graduate,0.49964527000000003,0.8078392000000001,-0.30819393000000006
CARRYGUN_W26,education,steered,6.0,Steered N=6,high school,High school graduate,0.30053372274067164,0.5872016367016649,-0.2866679139609933
CARRYGUN_W26,education,steered,8.0,Steered N=8,high school,High school graduate,0.29425223,0.35998325000000014,-0.06573102000000014
CARRYGUN_W26,education,steered,10.0,Steered N=10,high school,High school graduate,0.5917252940185599,0.4509067293615075,0.1408185646570524
CARRYGUN_W26,education,steered,12.0,Steered N=12,high school,High school graduate,0.8935899516542068,0.5853960216542067,0.30819393000000017
CARRYGUN_W26,education,steered,14.0,Steered N=14,high school,High school graduate,1.087064991963806,0.778871061963806,0.30819393000000006
CARRYGUN_W26,education,steered,16.0,Steered N=16,high school,High school graduate,1.1829190825654923,0.8747251525654922,0.30819393000000006
CARRYGUN_W26,education,steered,18.0,Steered N=18,high school,High school graduate,1.2292057285097555,0.9210117985097552,0.3081939300000003
CARRYGUN_W26,education,steered,20.0,Steered N=20,high school,High school graduate,1.2410891136415696,0.9328951836415693,0.3081939300000003
CARRYGUN_W26,education,declared,,Declared,college and more,College graduate/some postgrad,0.40635460484544356,0.540856925932024,-0.1345023210865804
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,0.5251863221485835,0.8682285971485835,-0.34304227499999995
CARRYGUN_W26,education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,0.6149491769719203,0.9579914519719204,-0.34304227500000006
CARRYGUN_W26,education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,0.5723163,0.9153585750000002,-0.3430422750000002
CARRYGUN_W26,education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,0.4022048757776137,0.7452471507776137,-0.343042275
CARRYGUN_W26,education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,0.22235942000000003,0.5324679050000001,-0.31010848500000004
CARRYGUN_W26,education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,0.24465576336742745,0.38444193952591055,-0.1397861761584831
CARRYGUN_W26,education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,0.43645088574756075,0.375014192892834,0.06143669285472675
CARRYGUN_W26,education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,0.5445507451073325,0.36991634153337993,0.17463440357395255
CARRYGUN_W26,education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,0.5795606042640253,0.39676327018487134,0.182797334079154
CARRYGUN_W26,education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,0.5753574702183076,0.4149988518705586,0.160358618347749
CARRYGUN_W26,education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,0.5582584226549654,0.425084742690779,0.1331736799641864
CARRYGUN_W26,socioeco,declared,,Declared,low,"Less than $30,000",0.4259758700472522,0.6609052224549297,-0.23492935240767748
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000",0.562185436041774,0.8092498921485833,-0.24706445610680938
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,low,"Less than $30,000",0.5088868674879012,0.7307934052897267,-0.22190653780182545
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,low,"Less than $30,000",0.46094843700851695,0.675460034736393,-0.2145115977278761
CARRYGUN_W26,socioeco,steered,6.0,Steered N=6,low,"Less than $30,000",0.48247929334295325,0.7218255612002904,-0.23934626785733715
CARRYGUN_W26,socioeco,steered,8.0,Steered N=8,low,"Less than $30,000",0.5733694587963631,0.8597737494771818,-0.28640429068081863
CARRYGUN_W26,socioeco,steered,10.0,Steered N=10,low,"Less than $30,000",0.6273727028187266,0.9154661628187266,-0.28809346
