attribute,channel,magnitude,regime,model_class,own_human_group,predicted_human_group,count,row_fraction
socioeco,steered,8.0,Steered N=8,low,"Less than $30,000","Less than $30,000",286,0.588477366255144
socioeco,steered,10.0,Steered N=10,low,"Less than $30,000","Less than $30,000",287,0.5905349794238683
socioeco,steered,12.0,Steered N=12,low,"Less than $30,000","Less than $30,000",285,0.5864197530864198
socioeco,steered,14.0,Steered N=14,low,"Less than $30,000","Less than $30,000",284,0.5843621399176955
socioeco,steered,16.0,Steered N=16,low,"Less than $30,000","$100,000 or more",204,0.41975308641975306
socioeco,steered,18.0,Steered N=18,low,"Less than $30,000","$100,000 or more",210,0.43209876543209874
socioeco,steered,20.0,Steered N=20,low,"Less than $30,000","$100,000 or more",213,0.4382716049382716
socioeco,declared,,Declared,high,"$100,000 or more","Less than $30,000",268,0.551440329218107
socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more","Less than $30,000",277,0.5699588477366255
socioeco,steered,2.0,Steered N=2,high,"$100,000 or more","Less than $30,000",275,0.565843621399177
socioeco,steered,4.0,Steered N=4,high,"$100,000 or more","Less than $30,000",280,0.5761316872427984
socioeco,steered,6.0,Steered N=6,high,"$100,000 or more","Less than $30,000",280,0.5761316872427984
socioeco,steered,8.0,Steered N=8,high,"$100,000 or more","Less than $30,000",278,0.5720164609053497
socioeco,steered,10.0,Steered N=10,high,"$100,000 or more","Less than $30,000",287,0.5905349794238683
socioeco,steered,12.0,Steered N=12,high,"$100,000 or more","Less than $30,000",303,0.6234567901234568
socioeco,steered,14.0,Steered N=14,high,"$100,000 or more","$100,000 or more",186,0.38271604938271603
socioeco,steered,16.0,Steered N=16,high,"$100,000 or more","$100,000 or more",178,0.3662551440329218
socioeco,steered,18.0,Steered N=18,high,"$100,000 or more","$100,000 or more",181,0.3724279835390947
socioeco,steered,20.0,Steered N=20,high,"$100,000 or more","$100,000 or more",174,0.35802469135802467
gender,steered,0.0,Neutral (N=0),male,Male,Male,270,0.5578512396694215
gender,steered,2.0,Steered N=2,male,Male,Male,240,0.49586776859504134
gender,steered,4.0,Steered N=4,male,Male,Male,239,0.493801652892562
gender,steered,12.0,Steered N=12,male,Male,Male,280,0.5785123966942148
gender,steered,14.0,Steered N=14,male,Male,Male,287,0.5929752066115702
gender,steered,16.0,Steered N=16,male,Male,Male,297,0.6136363636363636
gender,steered,18.0,Steered N=18,male,Male,Male,295,0.609504132231405
gender,steered,20.0,Steered N=20,male,Male,Male,301,0.621900826446281
gender,declared,,Declared,female,Female,Male,260,0.5371900826446281
gender,steered,0.0,Neutral (N=0),female,Female,Male,270,0.5578512396694215
gender,steered,2.0,Steered N=2,female,Female,Male,293,0.6053719008264463
gender,steered,4.0,Steered N=4,female,Female,Male,307,0.6342975206611571
gender,steered,14.0,Steered N=14,female,Female,Female,225,0.46487603305785125
gender,steered,16.0,Steered N=16,female,Female,Female,226,0.4669421487603306
gender,steered,18.0,Steered N=18,female,Female,Female,229,0.4731404958677686
gender,steered,20.0,Steered N=20,female,Female,Female,228,0.47107438016528924
age,declared,,Declared,adult,30-49,30-49,283,0.5871369294605809
age,steered,0.0,Neutral (N=0),adult,30-49,30-49,269,0.558091286307054
age,steered,2.0,Steered N=2,adult,30-49,30-49,275,0.5705394190871369
age,steered,4.0,Steered N=4,adult,30-49,30-49,270,0.5601659751037344
age,steered,6.0,Steered N=6,adult,30-49,30-49,265,0.549792531120332
age,steered,8.0,Steered N=8,adult,30-49,30-49,259,0.5373443983402489
age,steered,10.0,Steered N=10,adult,30-49,30-49,277,0.5746887966804979
age,steered,12.0,Steered N=12,adult,30-49,30-49,282,0.5850622406639004
age,steered,14.0,Steered N=14,adult,30-49,30-49,277,0.5746887966804979
age,steered,16.0,Steered N=16,adult,30-49,30-49,279,0.578838174273859
age,steered,20.0,Steered N=20,adult,30-49,65+,201,0.4170124481327801
age,declared,,Declared,older_adult,65+,30-49,288,0.5975103734439834
age,steered,0.0,Neutral (N=0),older_adult,65+,30-49,269,0.558091286307054
age,steered,2.0,Steered N=2,older_adult,65+,30-49,280,0.5809128630705395
age,steered,4.0,Steered N=4,older_adult,65+,30-49,286,0.5933609958506224
age,steered,6.0,Steered N=6,older_adult,65+,65+,189,0.3921161825726141
age,steered,8.0,Steered N=8,older_adult,65+,65+,198,0.4107883817427386
education,declared,,Declared,some schooling,Less than high school,High school graduate,151,0.31069958847736623
education,steered,0.0,Neutral (N=0),some schooling,Less than high school,Less than high school,198,0.4074074074074074
education,steered,2.0,Steered N=2,some schooling,Less than high school,Less than high school,210,0.43209876543209874
education,steered,4.0,Steered N=4,some schooling,Less than high school,Less than high school,207,0.42592592592592593
education,steered,8.0,Steered N=8,some schooling,Less than high school,High school graduate,131,0.26954732510288065
education,steered,10.0,Steered N=10,some schooling,Less than high school,High school graduate,126,0.25925925925925924
education,steered,12.0,Steered N=12,some schooling,Less than high school,High school graduate,120,0.24691358024691357
education,steered,14.0,Steered N=14,some schooling,Less than high school,High school graduate,119,0.2448559670781893
education,steered,16.0,Steered N=16,some schooling,Less than high school,High school graduate,121,0.24897119341563786
education,steered,18.0,Steered N=18,some schooling,Less than high school,High school graduate,126,0.25925925925925924
education,steered,20.0,Steered N=20,some schooling,Less than high school,High school graduate,136,0.27983539094650206
education,declared,,Declared,high school,High school graduate,Less than high school,188,0.3868312757201646
education,steered,0.0,Neutral (N=0),high school,High school graduate,Less than high school,198,0.4074074074074074
education,steered,2.0,Steered N=2,high school,High school graduate,Less than high school,204,0.41975308641975306
education,steered,4.0,Steered N=4,high school,High school graduate,Less than high school,200,0.411522633744856
education,steered,6.0,Steered N=6,high school,High school graduate,Less than high school,222,0.4567901234567901
education,steered,8.0,Steered N=8,high school,High school graduate,Less than high school,225,0.46296296296296297
education,declared,,Declared,college and more,College graduate/some postgrad,Less than high school,179,0.3683127572016461
education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,Less than high school,198,0.4074074074074074
education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,High school graduate,144,0.2962962962962963
education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,High school graduate,147,0.30246913580246915
education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,High school graduate,159,0.3271604938271605
education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,High school graduate,153,0.3148148148148148
education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,High school graduate,157,0.3230452674897119
education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,High school graduate,160,0.3292181069958848
education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,High school graduate,158,0.32510288065843623
education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,High school graduate,150,0.30864197530864196
education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,High school graduate,148,0.3045267489711934
socioeco,steered,16.0,Steered N=16,low,"Less than $30,000","Less than $30,000",282,0.5802469135802469
socioeco,steered,18.0,Steered N=18,low,"Less than $30,000","Less than $30,000",276,0.5679012345679012
socioeco,steered,20.0,Steered N=20,low,"Less than $30,000","Less than $30,000",273,0.5617283950617284
socioeco,steered,4.0,Steered N=4,high,"$100,000 or more","$100,000 or more",206,0.42386831275720166
socioeco,steered,6.0,Steered N=6,high,"$100,000 or more","$100,000 or more",206,0.42386831275720166
socioeco,steered,8.0,Steered N=8,high,"$100,000 or more","$100,000 or more",208,0.4279835390946502
socioeco,steered,10.0,Steered N=10,high,"$100,000 or more","$100,000 or more",199,0.4094650205761317
socioeco,steered,12.0,Steered N=12,high,"$100,000 or more","$100,000 or more",183,0.3765432098765432
socioeco,steered,14.0,Steered N=14,high,"$100,000 or more","Less than $30,000",300,0.6172839506172839
socioeco,steered,16.0,Steered N=16,high,"$100,000 or more","Less than $30,000",308,0.6337448559670782
socioeco,steered,18.0,Steered N=18,high,"$100,000 or more","Less than $30,000",305,0.6275720164609053
socioeco,steered,20.0,Steered N=20,high,"$100,000 or more","Less than $30,000",312,0.6419753086419753
gender,declared,,Declared,male,Male,Male,279,0.5764462809917356
gender,steered,6.0,Steered N=6,female,Female,Male,309,0.6384297520661157
gender,steered,8.0,Steered N=8,female,Female,Male,302,0.6239669421487604
age,steered,10.0,Steered N=10,older_adult,65+,65+,203,0.4211618257261411
age,steered,12.0,Steered N=12,older_adult,65+,65+,211,0.43775933609958506
age,steered,14.0,Steered N=14,older_adult,65+,65+,207,0.42946058091286304
age,steered,16.0,Steered N=16,older_adult,65+,65+,211,0.43775933609958506
age,steered,18.0,Steered N=18,older_adult,65+,65+,208,0.4315352697095436
age,steered,20.0,Steered N=20,older_adult,65+,65+,207,0.42946058091286304
education,declared,,Declared,some schooling,Less than high school,Less than high school,181,0.3724279835390947
education,steered,0.0,Neutral (N=0),some schooling,Less than high school,High school graduate,140,0.2880658436213992
education,steered,2.0,Steered N=2,some schooling,Less than high school,High school graduate,124,0.2551440329218107
education,steered,4.0,Steered N=4,some schooling,Less than high school,High school graduate,133,0.2736625514403292
education,steered,6.0,Steered N=6,some schooling,Less than high school,High school graduate,127,0.2613168724279835
education,steered,10.0,Steered N=10,some schooling,Less than high school,College graduate/some postgrad,134,0.2757201646090535
education,steered,12.0,Steered N=12,some schooling,Less than high school,College graduate/some postgrad,132,0.2716049382716049
education,steered,14.0,Steered N=14,some schooling,Less than high school,College graduate/some postgrad,127,0.2613168724279835
education,steered,16.0,Steered N=16,some schooling,Less than high school,College graduate/some postgrad,121,0.24897119341563786
education,declared,,Declared,high school,High school graduate,High school graduate,142,0.29218106995884774
education,steered,0.0,Neutral (N=0),high school,High school graduate,High school graduate,140,0.2880658436213992
education,steered,2.0,Steered N=2,high school,High school graduate,High school graduate,132,0.2716049382716049
education,steered,4.0,Steered N=4,high school,High school graduate,High school graduate,137,0.28189300411522633
education,steered,6.0,Steered N=6,high school,High school graduate,High school graduate,133,0.2736625514403292
education,steered,8.0,Steered N=8,high school,High school graduate,High school graduate,127,0.2613168724279835
education,steered,10.0,Steered N=10,high school,High school graduate,High school graduate,120,0.24691358024691357
education,steered,12.0,Steered N=12,high school,High school graduate,High school graduate,115,0.2366255144032922
education,steered,14.0,Steered N=14,high school,High school graduate,High school graduate,110,0.22633744855967078
education,steered,16.0,Steered N=16,high school,High school graduate,High school graduate,105,0.21604938271604937
education,steered,18.0,Steered N=18,high school,High school graduate,High school graduate,103,0.21193415637860083
education,steered,20.0,Steered N=20,high school,High school graduate,High school graduate,101,0.20781893004115226
education,declared,,Declared,college and more,College graduate/some postgrad,High school graduate,133,0.2736625514403292
education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,High school graduate,140,0.2880658436213992
education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,College graduate/some postgrad,138,0.2839506172839506
education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,College graduate/some postgrad,129,0.2654320987654321
education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,College graduate/some postgrad,128,0.26337448559670784
education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,College graduate/some postgrad,132,0.2716049382716049
education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,College graduate/some postgrad,133,0.2736625514403292
education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,College graduate/some postgrad,134,0.2757201646090535
gender,steered,10.0,Steered N=10,female,Female,Male,287,0.5929752066115702
age,steered,18.0,Steered N=18,adult,30-49,65+,198,0.4107883817427386
education,steered,18.0,Steered N=18,some schooling,Less than high school,Less than high school,240,0.49382716049382713
education,steered,20.0,Steered N=20,some schooling,Less than high school,Less than high school,241,0.49588477366255146
education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,Less than high school,187,0.38477366255144035
education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,Less than high school,194,0.3991769547325103
education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,Less than high school,197,0.4053497942386831
gender,steered,10.0,Steered N=10,male,Male,Female,228,0.47107438016528924
education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,Less than high school,186,0.38271604938271603
education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,Less than high school,187,0.38477366255144035
socioeco,declared,,Declared,low,"Less than $30,000","$100,000 or more",214,0.4403292181069959
socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000","$100,000 or more",208,0.4279835390946502
socioeco,steered,8.0,Steered N=8,low,"Less than $30,000","$100,000 or more",199,0.4094650205761317
socioeco,steered,10.0,Steered N=10,low,"Less than $30,000","$100,000 or more",198,0.4074074074074074
socioeco,declared,,Declared,high,"$100,000 or more","$100,000 or more",217,0.44650205761316875
socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more","$100,000 or more",208,0.4279835390946502
socioeco,steered,2.0,Steered N=2,high,"$100,000 or more","$100,000 or more",210,0.43209876543209874
gender,steered,12.0,Steered N=12,female,Female,Male,269,0.5557851239669421
education,steered,6.0,Steered N=6,some schooling,Less than high school,College graduate/some postgrad,147,0.30246913580246915
education,steered,8.0,Steered N=8,some schooling,Less than high school,College graduate/some postgrad,142,0.29218106995884774
socioeco,steered,2.0,Steered N=2,low,"Less than $30,000","$100,000 or more",204,0.41975308641975306
socioeco,steered,4.0,Steered N=4,low,"Less than $30,000","$100,000 or more",194,0.3991769547325103
socioeco,steered,6.0,Steered N=6,low,"Less than $30,000","$100,000 or more",193,0.39711934156378603
gender,steered,6.0,Steered N=6,male,Male,Female,241,0.49793388429752067
gender,steered,8.0,Steered N=8,male,Male,Female,256,0.5289256198347108
education,steered,10.0,Steered N=10,high school,High school graduate,College graduate/some postgrad,137,0.28189300411522633
education,steered,12.0,Steered N=12,high school,High school graduate,College graduate/some postgrad,148,0.3045267489711934
education,steered,14.0,Steered N=14,high school,High school graduate,College graduate/some postgrad,153,0.3148148148148148
education,steered,16.0,Steered N=16,high school,High school graduate,College graduate/some postgrad,157,0.3230452674897119
education,steered,18.0,Steered N=18,high school,High school graduate,College graduate/some postgrad,161,0.33127572016460904
education,steered,20.0,Steered N=20,high school,High school graduate,College graduate/some postgrad,161,0.33127572016460904
socioeco,steered,12.0,Steered N=12,low,"Less than $30,000","$100,000 or more",200,0.411522633744856
socioeco,steered,14.0,Steered N=14,low,"Less than $30,000","$100,000 or more",202,0.4156378600823045
education,steered,10.0,Steered N=10,high school,High school graduate,College graduate/some postgrad | Less than high school,1,0.00205761316872428
socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,2.0,Steered N=2,low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,4.0,Steered N=4,low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,8.0,Steered N=8,low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,10.0,Steered N=10,low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,12.0,Steered N=12,low,"Less than $30,000","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,declared,,Declared,high,"$100,000 or more","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more","$100,000 or more | Less than $30,000",1,0.00205761316872428
socioeco,steered,2.0,Steered N=2,high,"$100,000 or more","$100,000 or more | Less than $30,000",1,0.00205761316872428
