attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
education,reading,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6365142265955607,0.3333333333333333,0.0,45,3599,900,education_probe_at_layer_0.pth
education,reading,1,0.7966666666666666,0.7966666666666667,0.7787432655944676,0.5832429263326857,0.3333333333333333,0.4633333333333333,40,3599,900,education_probe_at_layer_1.pth
education,reading,2,0.8211111111111111,0.8211111111111111,0.8116157219348711,0.6061782240867615,0.3333333333333333,0.4877777777777778,16,3599,900,education_probe_at_layer_2.pth
education,reading,3,0.8322222222222222,0.8322222222222222,0.8311130214447932,0.6157531274689568,0.3333333333333333,0.4988888888888889,7,3599,900,education_probe_at_layer_3.pth
education,reading,4,0.7811111111111111,0.7811111111111111,0.7735776815689867,0.4077517092227936,0.3333333333333333,0.4477777777777778,50,3599,900,education_probe_at_layer_4.pth
education,reading,5,0.7922222222222223,0.7922222222222223,0.7855854764253456,0.39146440890100265,0.3333333333333333,0.45888888888888896,48,3599,900,education_probe_at_layer_5.pth
education,reading,6,0.8266666666666667,0.8266666666666667,0.8245844164179584,0.34878214862611556,0.3333333333333333,0.49333333333333335,47,3599,900,education_probe_at_layer_6.pth
education,reading,7,0.8411111111111111,0.8411111111111111,0.8393835241717996,0.32641341620021397,0.3333333333333333,0.5077777777777779,48,3599,900,education_probe_at_layer_7.pth
education,reading,8,0.8555555555555555,0.8555555555555555,0.853671351762716,0.3064420024553935,0.3333333333333333,0.5222222222222221,50,3599,900,education_probe_at_layer_8.pth
education,reading,9,0.8577777777777778,0.8577777777777778,0.8568359397632698,0.2989210916890038,0.3333333333333333,0.5244444444444445,47,3599,900,education_probe_at_layer_9.pth
education,reading,10,0.8833333333333333,0.8833333333333333,0.8828415048508367,0.270127750105328,0.3333333333333333,0.55,50,3599,900,education_probe_at_layer_10.pth
education,reading,11,0.88,0.88,0.8789680913961343,0.2644720806015862,0.3333333333333333,0.5466666666666666,49,3599,900,education_probe_at_layer_11.pth
education,reading,12,0.8811111111111111,0.8811111111111112,0.8812171790643936,0.26737351218859357,0.3333333333333333,0.5477777777777777,45,3599,900,education_probe_at_layer_12.pth
education,reading,13,0.8888888888888888,0.888888888888889,0.8885753676034059,0.2427249484592014,0.3333333333333333,0.5555555555555556,50,3599,900,education_probe_at_layer_13.pth
education,reading,14,0.8966666666666666,0.8966666666666666,0.8966740506316899,0.2521114233467314,0.3333333333333333,0.5633333333333332,40,3599,900,education_probe_at_layer_14.pth
education,reading,15,0.9088888888888889,0.9088888888888889,0.9088686744203103,0.2235767576429579,0.3333333333333333,0.5755555555555556,47,3599,900,education_probe_at_layer_15.pth
education,reading,16,0.93,0.93,0.929556345416776,0.171978407435947,0.3333333333333333,0.5966666666666667,50,3599,900,education_probe_at_layer_16.pth
education,reading,17,0.9411111111111111,0.9411111111111111,0.9409026972358344,0.15357922514279684,0.3333333333333333,0.6077777777777778,49,3599,900,education_probe_at_layer_17.pth
education,reading,18,0.9477777777777778,0.9477777777777777,0.9476801991837857,0.15175310108396742,0.3333333333333333,0.6144444444444446,41,3599,900,education_probe_at_layer_18.pth
education,reading,19,0.9533333333333334,0.9533333333333333,0.9531902282312008,0.1282694869571262,0.3333333333333333,0.6200000000000001,48,3599,900,education_probe_at_layer_19.pth
education,reading,20,0.9611111111111111,0.9611111111111111,0.9610021042278797,0.11357077625062731,0.3333333333333333,0.6277777777777778,49,3599,900,education_probe_at_layer_20.pth
education,reading,21,0.9666666666666667,0.9666666666666667,0.9666737284735262,0.10950194878710641,0.3333333333333333,0.6333333333333333,46,3599,900,education_probe_at_layer_21.pth
education,reading,22,0.9644444444444444,0.9644444444444445,0.9644478838669412,0.09699663685427772,0.3333333333333333,0.6311111111111112,50,3599,900,education_probe_at_layer_22.pth
education,reading,23,0.9611111111111111,0.9611111111111111,0.9610990830326314,0.09466601990991169,0.3333333333333333,0.6277777777777778,50,3599,900,education_probe_at_layer_23.pth
education,reading,24,0.9666666666666667,0.9666666666666667,0.96668577968908,0.0994954365823004,0.3333333333333333,0.6333333333333333,39,3599,900,education_probe_at_layer_24.pth
education,reading,25,0.9677777777777777,0.9677777777777777,0.967839427594965,0.09009705069992277,0.3333333333333333,0.6344444444444444,50,3599,900,education_probe_at_layer_25.pth
education,reading,26,0.9688888888888889,0.9688888888888889,0.9688959753873808,0.08816645708349016,0.3333333333333333,0.6355555555555557,50,3599,900,education_probe_at_layer_26.pth
education,reading,27,0.9677777777777777,0.9677777777777777,0.9679098077095573,0.09074713372521931,0.3333333333333333,0.6344444444444444,46,3599,900,education_probe_at_layer_27.pth
education,reading,28,0.9688888888888889,0.9688888888888889,0.9689514549354366,0.0874410875969463,0.3333333333333333,0.6355555555555557,49,3599,900,education_probe_at_layer_28.pth
education,reading,29,0.9677777777777777,0.9677777777777777,0.967839427594965,0.08819817834430271,0.3333333333333333,0.6344444444444444,43,3599,900,education_probe_at_layer_29.pth
education,reading,30,0.97,0.9700000000000001,0.9700814937102759,0.08527886453602049,0.3333333333333333,0.6366666666666667,47,3599,900,education_probe_at_layer_30.pth
education,reading,31,0.97,0.9700000000000001,0.9700548832751433,0.07913502968019909,0.3333333333333333,0.6366666666666667,50,3599,900,education_probe_at_layer_31.pth
education,reading,32,0.97,0.9700000000000001,0.9700523248222218,0.07260981036557092,0.3333333333333333,0.6366666666666667,49,3599,900,education_probe_at_layer_32.pth
