position,comparison,n_cases,mean_gender_strength,mean_other_strength,mean_difference,fraction_gender_stronger,p_value_one_sided
after_name,gender vs age,40,0.2468132009817073,0.11363508880487805,0.13317811217682926,1.0,9.094947017729282e-13
after_name,gender vs education,40,0.2468132009817073,0.2232432453109756,0.023569955670731717,0.85,7.717690095887519e-07
after_name,gender vs socioeco,40,0.2468132009817073,0.1396284828597561,0.10718471812195123,1.0,9.094947017729282e-13
final_prompt,gender vs age,19760,0.27326992065356226,0.12809624656386392,0.1451736740896983,1.0,0.0
final_prompt,gender vs education,19760,0.27326992065356226,0.11138459236801371,0.16188532828554855,1.0,0.0
final_prompt,gender vs socioeco,19760,0.27326992065356226,0.13962361145862545,0.1336463091949368,1.0,0.0
