qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
SHOOTFREQ_W26,gender,Male,Female,0.3223292400000001,Q4,inferred,,Inferred from name,Male,male,female,0.5437315702692305,0.46119565759741804,0.08253591267181243
WORRYB_W26,gender,Male,Female,0.2456113560527844,Q4,inferred,,Inferred from name,Male,male,female,0.23143327876504136,0.23533357778848815,-0.003900299023446796
WORRYD_W26,gender,Male,Female,0.24918405000000002,Q4,inferred,,Inferred from name,Male,male,female,0.6932144017566377,0.7254957352034372,-0.03228133344679951
WORRYE_W26,gender,Male,Female,0.21775253999999988,Q4,inferred,,Inferred from name,Male,male,female,0.3818704235397231,0.3746177767688566,0.007252646770866511
WORRYF_W26,gender,Male,Female,0.29852211547938284,Q4,inferred,,Inferred from name,Male,male,female,0.23438391157682315,0.26763325975968777,-0.033249348182864624
BOYSF1B_W29,gender,Male,Female,0.10429201499999999,Q2,inferred,,Inferred from name,Male,male,female,0.3581217404872434,0.34330972234833357,0.01481201813890981
FAVORS_CPS_W29,gender,Male,Female,0.1534800723761155,Q3,inferred,,Inferred from name,Male,male,female,1.0466602747265497,1.0284000480814106,0.018260226645139044
GIRLSF2C_W29,gender,Male,Female,0.051575777581438845,Q2,inferred,,Inferred from name,Male,male,female,0.48661602346995203,0.38563896080232296,0.10097706266762907
GIRLSF2D_W29,gender,Male,Female,0.055314156985722465,Q2,inferred,,Inferred from name,Male,male,female,0.3981597513872542,0.31930961320420603,0.07885013818304815
GOPDIRCT_W29,gender,Male,Female,0.20523859999999997,Q4,inferred,,Inferred from name,Male,male,female,0.9816099793804463,0.8828267855466392,0.09878319383380707
HOOD_NHISB_W29,gender,Male,Female,0.0722041700000004,Q2,inferred,,Inferred from name,Male,male,female,1.3009039881441078,1.298445506142426,0.00245848200168175
LOCALELECT_W29,gender,Male,Female,0.12393901000000018,Q3,inferred,,Inferred from name,Male,male,female,1.2591011515653614,1.2634881002709926,-0.004386948705631166
MAN1A_W29,gender,Male,Female,1.01920817,Q4,inferred,,Inferred from name,Male,male,female,0.8232390775858436,0.954973958438177,-0.13173488085233342
MAN1B_W29,gender,Male,Female,1.25869198,Q4,inferred,,Inferred from name,Male,male,female,0.5556596605358959,0.631844592652804,-0.07618493211690813
MAN1C_W29,gender,Male,Female,0.92679733,Q4,inferred,,Inferred from name,Male,male,female,0.9476867863404689,1.034475860986219,-0.08678907464575014
MAN1D_W29,gender,Male,Female,1.597301294026987,Q4,inferred,,Inferred from name,Male,male,female,1.157697716048771,1.3000884836755935,-0.14239076762682257
MAN1E_W29,gender,Male,Female,0.44492107,Q4,inferred,,Inferred from name,Male,male,female,1.057181489007558,1.2125754419333812,-0.15539395292582325
MASC2_W29,gender,Male,Female,2.1469449414694495,Q4,inferred,,Inferred from name,Male,male,female,1.7960992473559187,1.743301950304058,0.05279729705186065
S12_W29,gender,Male,Female,0.08920571999999993,Q2,inferred,,Inferred from name,Male,male,female,1.448644737690413,1.3644654661577695,0.08417927153264348
S13_W29,gender,Male,Female,0.21724843782751463,Q4,inferred,,Inferred from name,Male,male,female,1.0152685687378167,1.0298634761118721,-0.014594907374055444
SEENMASC_W29,gender,Male,Female,1.3613361099999999,Q4,inferred,,Inferred from name,Male,male,female,0.8237525340324594,0.869594472501874,-0.045841938469414645
TALK_CPS_W29,gender,Male,Female,0.10569955999999986,Q3,inferred,,Inferred from name,Male,male,female,0.7785117096190056,0.7794915827739572,-0.000979873154951627
WORRYBILL_W29,gender,Male,Female,0.20622763999999988,Q4,inferred,,Inferred from name,Male,male,female,0.4967578031342468,0.48409026230627394,0.012667540827972834
CLASS_W32,gender,Male,Female,0.050516119999999894,Q2,inferred,,Inferred from name,Male,male,female,0.30447890364649804,0.33046562930280726,-0.025986725656309217
COMMIMPA_W32,gender,Male,Female,0.20555360097783684,Q4,inferred,,Inferred from name,Male,male,female,0.7628222135330796,0.8542815409780987,-0.09145932744501917
COMMIMPB_W32,gender,Male,Female,0.13809401999999982,Q3,inferred,,Inferred from name,Male,male,female,1.0913089061147176,1.2204879318211872,-0.12917902570646955
COMMIMPC_W32,gender,Male,Female,0.2745834836520892,Q4,inferred,,Inferred from name,Male,male,female,0.5025557469994845,0.503365127831907,-0.000809380832422546
COMMIMPF_W32,gender,Male,Female,0.32438873,Q4,inferred,,Inferred from name,Male,male,female,0.8380681252477232,0.9285082473584378,-0.09044012211071462
COMMIMPG_W32,gender,Male,Female,0.1306033199999996,Q3,inferred,,Inferred from name,Male,male,female,0.8269781951022267,0.9251147893572338,-0.09813659425500709
COMMIMPH_W32,gender,Male,Female,0.16139326000000004,Q3,inferred,,Inferred from name,Male,male,female,0.7355647841057892,0.5053517496383769,0.23021303446741226
COMMYRS_W32,gender,Male,Female,0.03268944432555873,Q1,inferred,,Inferred from name,Male,male,female,0.6816609913796877,0.6945579548331344,-0.012896963453446708
ETHNCMAJ_W32,gender,Male,Female,0.021256514999999976,Q1,inferred,,Inferred from name,Male,male,female,0.07253749820100118,0.0764285713129841,-0.003891073111982918
GAYMARR2_W32,gender,Male,Female,0.12598261291643065,Q3,inferred,,Inferred from name,Male,male,female,1.031418015724522,0.9506665490792694,0.08075146664525268
HARASS2F1_W32,gender,Male,Female,0.015190887486521226,Q1,inferred,,Inferred from name,Male,male,female,0.0898568851128338,0.14020694975000003,-0.050350064637166236
IMMIMPACT_W32,gender,Male,Female,0.006735459999999943,Q1,inferred,,Inferred from name,Male,male,female,0.1571153864289941,0.13549362129934883,0.021621765129645282
MOVERURAL_W32,gender,Male,Female,0.09271421092714194,Q2,inferred,,Inferred from name,Male,male,female,0.5188510250878033,0.632365355851044,-0.11351433076324069
MOVESUBURB_W32,gender,Male,Female,0.23398872999999987,Q4,inferred,,Inferred from name,Male,male,female,0.37861044622073103,0.49320006385758,-0.11458961763684894
MOVEURBAN_W32,gender,Male,Female,0.11238852914038994,Q3,inferred,,Inferred from name,Male,male,female,0.44448804826826294,0.5191195711367473,-0.0746315228684844
NEIGHINTERA_W32,gender,Male,Female,0.15930686558483725,Q3,inferred,,Inferred from name,Male,male,female,0.5869034873360968,0.5458151470704246,0.04108834026567221
NEIGHINTERB_W32,gender,Male,Female,0.055633150536500434,Q2,inferred,,Inferred from name,Male,male,female,1.9184503328835523,1.8324290609659832,0.08602127191756903
NEIGHKIDS_W32,gender,Male,Female,0.008486627672213254,Q1,inferred,,Inferred from name,Male,male,female,0.19481020874444463,0.18961019570740048,0.005200013037044149
NEIGHSAMEA_W32,gender,Male,Female,0.037218929217532976,Q1,inferred,,Inferred from name,Male,male,female,0.8213908512791601,0.8337093115554808,-0.012318460276320664
SATLIFED_W32,gender,Male,Female,0.021616910000000156,Q1,inferred,,Inferred from name,Male,male,female,0.6394165463085086,0.637065512133576,0.0023510341749326535
SOCTRUST2_W32,gender,Male,Female,0.004883829999999922,Q1,inferred,,Inferred from name,Male,male,female,0.1379573857431312,0.20647340194498542,-0.06851601620185421
VALUERURAL_W32,gender,Male,Female,0.05414281000000004,Q2,inferred,,Inferred from name,Male,male,female,0.6924254444260436,0.7038626426672316,-0.011437198241188051
WHADVANT_W32,gender,Male,Female,0.18604241625616164,Q3,inferred,,Inferred from name,Male,male,female,0.5712936324993871,0.5578198360404496,0.013473796458937537
WILLMOVE_W32,gender,Male,Female,0.05563259096600065,Q2,inferred,,Inferred from name,Male,male,female,0.5448572261594352,0.4863209721647793,0.058536253994655896
EAT1_W34,gender,Male,Female,0.15373783540426678,Q3,inferred,,Inferred from name,Male,male,female,0.6456171660000001,0.728705979899672,-0.08308881389967193
EAT2_W34,gender,Male,Female,0.12846561000000023,Q3,inferred,,Inferred from name,Male,male,female,0.5527547796477619,0.6038183955903925,-0.05106361594263065
EAT5B_W34,gender,Male,Female,0.2871463100000002,Q4,inferred,,Inferred from name,Male,male,female,0.5420694031471253,0.6303953750168291,-0.08832597186970381
EAT5C_W34,gender,Male,Female,0.31826349999999987,Q4,inferred,,Inferred from name,Male,male,female,0.4499853600796692,0.5006368235086649,-0.05065146342899568
EAT5D_W34,gender,Male,Female,0.250491737495083,Q4,inferred,,Inferred from name,Male,male,female,0.5315872625452331,0.6604654230370485,-0.12887816049181533
EVOBIOA_W34,gender,Male,Female,0.0754553,Q2,inferred,,Inferred from name,Male,male,female,0.036646474953537345,0.020278704934618696,0.016367770018918648
EVOBIOB_W34,gender,Male,Female,0.13486962000000002,Q3,inferred,,Inferred from name,Male,male,female,0.3049399325694794,0.29162275047204766,0.013317182097431712
EVOPERS3_W34,gender,Male,Female,0.06027303999999983,Q2,inferred,,Inferred from name,Male,male,female,0.4217034257140597,0.7478976180437849,-0.32619419232972513
EVOTHREE_W34,gender,Male,Female,0.04082140000000001,Q1,inferred,,Inferred from name,Male,male,female,0.3330519076615851,0.29378126613900324,0.03927064152258186
FUD22_W34,gender,Male,Female,0.04161787999999995,Q1,inferred,,Inferred from name,Male,male,female,0.45939803580066096,0.43456561713613634,0.024832418664524625
FUD24_W34,gender,Male,Female,0.004887359999999924,Q1,inferred,,Inferred from name,Male,male,female,0.20593458857597507,0.2147408447797414,-0.008806256203766322
FUD33B_W34,gender,Male,Female,0.010624351970052043,Q1,inferred,,Inferred from name,Male,male,female,0.1894819515685568,0.17738455773890952,0.01209739382964728
FUD35_W34,gender,Male,Female,0.20807841000000013,Q4,inferred,,Inferred from name,Male,male,female,0.7771883933937154,0.7957662412922879,-0.01857784789857253
FUD37A_W34,gender,Male,Female,0.1387911224072796,Q3,inferred,,Inferred from name,Male,male,female,0.55489976267582,0.7763069112784404,-0.22140714860262045
FUD37B_W34,gender,Male,Female,0.31001652390825574,Q4,inferred,,Inferred from name,Male,male,female,0.5886537174278677,0.4925880021202065,0.09606571530766117
FUD37C_W34,gender,Male,Female,0.3344374266556259,Q4,inferred,,Inferred from name,Male,male,female,0.4234664824561535,0.47951200216434414,-0.05604551970819066
BETTERBIZ1F2D_W36,gender,Male,Female,0.13906907920001157,Q3,inferred,,Inferred from name,Male,male,female,0.07784483603368808,0.15749547349316295,-0.07965063745947487
BETTERBIZ1F2E_W36,gender,Male,Female,0.10112174500000007,Q2,inferred,,Inferred from name,Male,male,female,0.08856642974944703,0.044083340593713966,0.04448308915573307
BETTERBIZ1F2H_W36,gender,Male,Female,0.05083484500000002,Q2,inferred,,Inferred from name,Male,male,female,0.08591266848040047,0.14787237910729079,-0.06195971062689032
BETTERBIZ2F2C_W36,gender,Male,Female,0.003796159999999965,Q1,inferred,,Inferred from name,Male,male,female,0.07883321329880351,0.08061175624078325,-0.0017785429419797383
BETTERBIZ2F2E_W36,gender,Male,Female,0.07120169000000003,Q2,inferred,,Inferred from name,Male,male,female,0.07516263754325736,0.08005112316716964,-0.004888485623912281
BETTERBIZ2F2F_W36,gender,Male,Female,0.015175765000000008,Q1,inferred,,Inferred from name,Male,male,female,0.10073617200000004,0.10262615996633023,-0.0018899879663301922
BETTERPOL1F1B_W36,gender,Male,Female,0.11506277838188708,Q3,inferred,,Inferred from name,Male,male,female,0.4025378261352929,0.40425879580470636,-0.0017209696694134857
BETTERPOL1F1E_W36,gender,Male,Female,0.02863504499999997,Q1,inferred,,Inferred from name,Male,male,female,0.02334351009730709,0.019103778120232506,0.0042397319770745845
BETTERPOL1F1I_W36,gender,Male,Female,0.020927120000000042,Q1,inferred,,Inferred from name,Male,male,female,0.3437625592576057,0.3703510660177294,-0.026588506760123698
BETTERPOL2F1A_W36,gender,Male,Female,0.1100957003638004,Q3,inferred,,Inferred from name,Male,male,female,0.12132734433422378,0.17439342696230486,-0.05306608262808109
BETTERPOL2F1C_W36,gender,Male,Female,0.02366024499999999,Q1,inferred,,Inferred from name,Male,male,female,0.17687975330535696,0.16950608884591206,0.007373664459444901
BETTERPOL2F1D_W36,gender,Male,Female,0.06683086827838364,Q2,inferred,,Inferred from name,Male,male,female,0.03345699642806821,0.026207836639394744,0.007249159788673465
BETTERPOL2F1F_W36,gender,Male,Female,0.07022496453138671,Q2,inferred,,Inferred from name,Male,male,female,0.059455330786382446,0.07078401653073865,-0.011328685744356207
E5_W36,gender,Male,Female,0.28371384678917827,Q4,inferred,,Inferred from name,Male,male,female,0.6463268780865622,0.6757588875959762,-0.029432009509414048
ESSENBIZF2E_W36,gender,Male,Female,0.12374938000000002,Q3,inferred,,Inferred from name,Male,male,female,1.1621594976046934,1.2013874682925854,-0.039227970687891967
