attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
gender,Male,Female,inferred,,Inferred from name,All,484,968,0.14910505453674852,0.5,0.4896694214876033,0.5103305785123967,0.5,0.5,0.5,0.0,-0.010330578512396715,0.010330578512396715,0.5147426286856571
gender,Male,Female,inferred,,Inferred from name,Q1,121,242,0.02854997161870305,0.49586776859504134,0.47520661157024796,0.5165289256198347,0.49586776859504134,0.49586776859504134,0.5,-0.004132231404958664,-0.02479338842975204,0.016528925619834656,0.7171414292853573
gender,Male,Female,inferred,,Inferred from name,Q2,121,242,0.07189303539381062,0.49586776859504134,0.47520661157024796,0.5165289256198347,0.49586776859504134,0.49586776859504134,0.5,-0.004132231404958664,-0.02479338842975204,0.016528925619834656,0.7321339330334833
gender,Male,Female,inferred,,Inferred from name,Q3,121,242,0.14510511370814194,0.5,0.4834710743801653,0.5165289256198347,0.5,0.5,0.5,0.0,-0.01652892561983471,0.016528925619834656,0.5702148925537232
gender,Male,Female,inferred,,Inferred from name,Q4,121,242,0.3508720974263385,0.5082644628099173,0.48760330578512395,0.5330578512396694,0.5082644628099173,0.5082644628099173,0.5,0.008264462809917328,-0.012396694214876047,0.03305785123966942,0.2938530734632684
