position,attribute,n_cases,mean_activation_strength,ci95,mean_normalized_confidence,gender_layer_accuracy,gender_majority_accuracy
after_name,gender,40,0.2468132009817073,0.005781644938673259,0.6234066003902439,0.6396341463414634,1.0
after_name,age,40,0.11363508880487805,0.00120125319792704,0.33522631670121955,,
after_name,education,40,0.2232432453109756,0.0062133047386018535,0.48216216353048774,,
after_name,socioeco,40,0.1396284828597561,0.0016353081077552485,0.4264189885548781,,
final_prompt,gender,19760,0.27326992065356226,0.0008363785902875874,0.6366349603249605,0.6145625555445838,0.7838056680161943
final_prompt,age,19760,0.12809624656386392,0.0001520296371635092,0.3460721850471635,,
final_prompt,education,19760,0.11138459236801371,0.00019224964544331782,0.407589728167004,,
final_prompt,socioeco,19760,0.13962361145862545,0.00027566580801927825,0.42641574089352724,,
