attribute,best_magnitude,distance_at_best,selected_magnitude,distance_at_selected
age,20.0,0.658537332898847,20.0,0.658537332898847
education,20.0,0.6892338692700933,20.0,0.6892338692700933
gender,20.0,0.6766942315239315,20.0,0.6766942315239315
socioeco,20.0,0.7333976124142753,20.0,0.7333976124142753
