attribute,channel,magnitude,n,pearson,spearman,mean_delta
gender,declared,,484,0.01655267558100994,0.08817870287781467,-0.048230460398967986
gender,steered,20.0,484,0.06282551430630645,0.12095697790657245,0.1097382443018822
age,declared,,482,0.3744428745399611,0.23098397736092596,-0.03975434855854814
age,steered,20.0,482,0.26967370532034424,0.22749006458189217,0.08902555125771261
education,declared,,486,0.2052270779230841,0.22811235318468942,0.015864708764956697
education,steered,20.0,486,0.19624421926094723,0.15722189162072872,0.03660559820505991
socioeco,declared,,486,0.41006899121010754,0.31085713778855484,0.13786983756854063
socioeco,steered,20.0,486,0.1523341543202552,0.22217854846337198,-0.006650879502710527
