position,attribute,n_cases,mean_activation_strength,ci95,mean_normalized_confidence,gender_layer_accuracy,gender_majority_accuracy
after_name,gender,40,0.3428511536287878,0.008148196484296811,0.6714255770833333,0.6098484848484848,0.975
after_name,age,40,0.14742963088636366,0.0009963287406443207,0.36057222318181814,,
after_name,education,40,0.21780161363636363,0.0015131013453538297,0.4785344093863637,,
after_name,socioeco,40,0.1596249031439394,0.001541868389740946,0.43974993540151514,,
final_prompt,gender,19760,0.26608408325960003,0.000384032108722013,0.6330420414784843,0.5265688259109311,0.5936234817813765
final_prompt,age,19760,0.18855428525311313,0.00027901659561991877,0.39141571378757206,,
final_prompt,education,19760,0.24006898449363576,0.0004880363711579262,0.4933793229903846,,
final_prompt,socioeco,19760,0.24972238850349648,0.00039876660078126387,0.4998149255631824,,
