qkey,class_label,wasserstein,regime,neutral_wasserstein,delta_vs_neutral
GUNSAFETYKIDS_W26,female,0.23813640240652267,Neutral (N=0),0.23813640240652267,0.0
GUNSAFE_W26,male,0.1424932999746759,Neutral (N=0),0.1424932999746759,0.0
GUNSAFE_W26,female,0.20100707997467593,Neutral (N=0),0.20100707997467593,0.0
GUNTYPEOWNC_W26,male,1.1724796699957536,Neutral (N=0),1.1724796699957536,0.0
GUNTYPEOWNC_W26,female,0.8295345699957539,Neutral (N=0),0.8295345699957539,0.0
NOCARRYGUN_W26,male,0.36410322668100437,Neutral (N=0),0.36410322668100437,0.0
NOCARRYGUN_W26,female,0.43735995668100436,Neutral (N=0),0.43735995668100436,0.0
REASONGUNA_W26,male,0.41719917582631894,Neutral (N=0),0.41719917582631894,0.0
REASONGUNA_W26,female,0.36430202,Neutral (N=0),0.36430202,0.0
REASONGUNB_W26,male,0.8942037489454387,Neutral (N=0),0.8942037489454387,0.0
REASONGUNB_W26,female,1.199058128011848,Neutral (N=0),1.199058128011848,0.0
REASONGUNC_W26,male,0.8974752699716357,Neutral (N=0),0.8974752699716357,0.0
REASONGUNC_W26,female,1.1839462618142498,Neutral (N=0),1.1839462618142498,0.0
REASONGUND_W26,male,0.5770057503264003,Neutral (N=0),0.5770057503264003,0.0
REASONGUND_W26,female,0.46705595032640035,Neutral (N=0),0.46705595032640035,0.0
REASONGUNE_W26,male,0.3269908136310937,Neutral (N=0),0.3269908136310937,0.0
REASONGUNE_W26,female,0.3362380236310938,Neutral (N=0),0.3362380236310938,0.0
SHOOTFREQ_W26,male,0.9942084800113608,Neutral (N=0),0.9942084800113608,0.0
SHOOTFREQ_W26,female,0.6718792400113607,Neutral (N=0),0.6718792400113607,0.0
WORRYB_W26,male,0.4827485077139133,Neutral (N=0),0.4827485077139133,0.0
WORRYB_W26,female,0.4150666938120975,Neutral (N=0),0.4150666938120975,0.0
WORRYD_W26,male,1.028348129814332,Neutral (N=0),1.028348129814332,0.0
WORRYD_W26,female,0.779164079814332,Neutral (N=0),0.779164079814332,0.0
WORRYE_W26,male,0.43100429161939985,Neutral (N=0),0.43100429161939985,0.0
