qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
REASONGUNE_W26,gender,Male,Female,0.009247210000000033,Q1,inferred,,Inferred from name,Male,male,female,1.7327718785068833,1.284487151227621,0.4482847272792623
SHOOTFREQ_W26,gender,Male,Female,0.3223292400000001,Q4,inferred,,Inferred from name,Male,male,female,0.9930724855136325,0.9949737595024102,-0.0019012739887777075
WORRYB_W26,gender,Male,Female,0.2456113560527844,Q4,inferred,,Inferred from name,Male,male,female,0.5404570068962335,0.586297239985178,-0.04584023308894447
WORRYD_W26,gender,Male,Female,0.24918405000000002,Q4,inferred,,Inferred from name,Male,male,female,0.6093030546871644,0.7561560454429008,-0.14685299075573643
WORRYE_W26,gender,Male,Female,0.21775253999999988,Q4,inferred,,Inferred from name,Male,male,female,0.15358577497685516,0.17971594327184673,-0.026130168294991568
WORRYF_W26,gender,Male,Female,0.29852211547938284,Q4,inferred,,Inferred from name,Male,male,female,0.20659562610199822,0.3312273102130706,-0.1246316841110724
BOYSF1B_W29,gender,Male,Female,0.10429201499999999,Q2,inferred,,Inferred from name,Male,male,female,0.3306823035057582,0.3307480672451736,-6.576373941535874e-05
FAVORS_CPS_W29,gender,Male,Female,0.1534800723761155,Q3,inferred,,Inferred from name,Male,male,female,0.8823013442146275,0.8499157982319059,0.032385545982721586
GIRLSF2C_W29,gender,Male,Female,0.051575777581438845,Q2,inferred,,Inferred from name,Male,male,female,0.2909573807505929,0.2909710760004256,-1.3695249832690326e-05
GIRLSF2D_W29,gender,Male,Female,0.055314156985722465,Q2,inferred,,Inferred from name,Male,male,female,0.2219487277500393,0.22195127125004777,-2.54350000847281e-06
GOPDIRCT_W29,gender,Male,Female,0.20523859999999997,Q4,inferred,,Inferred from name,Male,male,female,0.6040472526693541,0.5735690493115468,0.030478203357807265
HOOD_NHISB_W29,gender,Male,Female,0.0722041700000004,Q2,inferred,,Inferred from name,Male,male,female,0.4901893668259997,0.47531395254427355,0.014875414281726118
LOCALELECT_W29,gender,Male,Female,0.12393901000000018,Q3,inferred,,Inferred from name,Male,male,female,0.9709922764470817,0.9700722875558301,0.0009199888912516663
MAN1A_W29,gender,Male,Female,1.01920817,Q4,inferred,,Inferred from name,Male,male,female,0.6001917895,0.6002553790003661,-6.358950036611244e-05
MAN1B_W29,gender,Male,Female,1.25869198,Q4,inferred,,Inferred from name,Male,male,female,0.9621960545000922,0.9621995634988909,-3.5089987987513283e-06
MAN1C_W29,gender,Male,Female,0.92679733,Q4,inferred,,Inferred from name,Male,male,female,0.7870989452946506,0.9073592776052678,-0.12026033231061717
MAN1D_W29,gender,Male,Female,1.597301294026987,Q4,inferred,,Inferred from name,Male,male,female,0.5955216786176915,0.6820425343674669,-0.08652085574977542
MAN1E_W29,gender,Male,Female,0.44492107,Q4,inferred,,Inferred from name,Male,male,female,0.2899273154269237,0.45190697513996847,-0.1619796597130448
MASC2_W29,gender,Male,Female,2.1469449414694495,Q4,inferred,,Inferred from name,Male,male,female,0.22835152648202203,1.241648106922098,-1.013296580440076
S12_W29,gender,Male,Female,0.08920571999999993,Q2,inferred,,Inferred from name,Male,male,female,0.6576237781035502,0.5872057819072546,0.07041799619629563
S13_W29,gender,Male,Female,0.21724843782751463,Q4,inferred,,Inferred from name,Male,male,female,0.7688612716424476,0.7961237202415985,-0.027262448599150946
SEENMASC_W29,gender,Male,Female,1.3613361099999999,Q4,inferred,,Inferred from name,Male,male,female,0.7167217545052452,0.7140376319696986,0.002684122535546618
TALK_CPS_W29,gender,Male,Female,0.10569955999999986,Q3,inferred,,Inferred from name,Male,male,female,2.4454241940386257,2.4842716447742785,-0.03884745073565288
WORRYBILL_W29,gender,Male,Female,0.20622763999999988,Q4,inferred,,Inferred from name,Male,male,female,0.6093194673739477,0.16126530270565662,0.44805416466829107
CLASS_W32,gender,Male,Female,0.050516119999999894,Q2,inferred,,Inferred from name,Male,male,female,0.6375549354971038,0.6378595239993341,-0.0003045885022302519
COMMIMPA_W32,gender,Male,Female,0.20555360097783684,Q4,inferred,,Inferred from name,Male,male,female,1.3019234539794993,1.3029455644890322,-0.0010221105095329364
COMMIMPB_W32,gender,Male,Female,0.13809401999999982,Q3,inferred,,Inferred from name,Male,male,female,0.6991423474974117,0.6991706219997094,-2.8274502297698234e-05
COMMIMPC_W32,gender,Male,Female,0.2745834836520892,Q4,inferred,,Inferred from name,Male,male,female,1.4390490924531272,1.453369443456422,-0.014320351003294762
COMMIMPF_W32,gender,Male,Female,0.32438873,Q4,inferred,,Inferred from name,Male,male,female,1.0717651581580272,1.0927945499225176,-0.02102939176449037
COMMIMPG_W32,gender,Male,Female,0.1306033199999996,Q3,inferred,,Inferred from name,Male,male,female,1.0368328819681296,1.0383018085031215,-0.0014689265349918657
COMMIMPH_W32,gender,Male,Female,0.16139326000000004,Q3,inferred,,Inferred from name,Male,male,female,0.7058199599355995,0.6922091078715948,0.013610852064004697
COMMYRS_W32,gender,Male,Female,0.03268944432555873,Q1,inferred,,Inferred from name,Male,male,female,0.4263278824676913,0.9907105910690337,-0.5643827086013424
ETHNCMAJ_W32,gender,Male,Female,0.021256514999999976,Q1,inferred,,Inferred from name,Male,male,female,0.21382193674994596,0.2138221847497606,-2.4799981465650767e-07
GAYMARR2_W32,gender,Male,Female,0.12598261291643065,Q3,inferred,,Inferred from name,Male,male,female,1.3744821580392936,1.397482710536712,-0.02300055249741839
HARASS2F1_W32,gender,Male,Female,0.015190887486521226,Q1,inferred,,Inferred from name,Male,male,female,0.45269042624998795,0.45269028949998474,1.3675000321011765e-07
IMMIMPACT_W32,gender,Male,Female,0.006735459999999943,Q1,inferred,,Inferred from name,Male,male,female,0.3333250342476606,0.3335648405005768,-0.00023980625291619706
MOVERURAL_W32,gender,Male,Female,0.09271421092714194,Q2,inferred,,Inferred from name,Male,male,female,0.5246084164811584,0.5245729857526864,3.54307284720079e-05
