attribute,channel,magnitude,n,pearson,spearman,mean_delta
gender,declared,,484,0.0040446194819067464,0.16474873482330388,0.26469483880827
gender,steered,20.0,484,0.22641500140285503,0.26906745509899416,0.3209955860929639
age,declared,,482,0.12606257775742521,0.23511080393634973,0.16988811632239026
age,steered,20.0,482,0.34024655129805986,0.33155601097149,0.2595541976682608
education,declared,,486,0.18607902960195366,0.23102228515411125,0.6342679683911686
education,steered,20.0,486,0.2682603324435952,0.2499678153565831,0.20508632313999325
socioeco,declared,,486,0.18596529293655217,0.23111636937360028,0.12652065213462152
socioeco,steered,20.0,486,0.3725108473050484,0.3194354215064503,0.4292039245157459
