attribute,best_magnitude,distance_at_best,selected_magnitude,distance_at_selected
age,20.0,0.5177376376857856,20.0,0.5177376376857856
education,20.0,0.4903576692083309,20.0,0.4903576692083309
gender,20.0,0.4649562733660349,20.0,0.4649562733660349
socioeco,12.0,0.5067736975037046,20.0,0.5638609542114027
